id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score
583,857336426855156312,spectral_match,Dabco EG,C1CN2CCN1CC2,,113.107,0.864,0.93544966
733,857336427584965228,denovo,,CS(=O)(=O)NN[SH](=O)=O,CH6N2O4S2,174.985,0.905,-1.155
741,857336427895343736,denovo,,CN(C)CCOC,C5H13NO,104.107,0.916,-2.28
763,857336428130224768,structure_db_match,"2-Oxo-4,6-diamino-1-azonia-2,3-dihydro-1,3,5-triazine",C1(=NC(=NC(=O)N1)N)N,C3H5N5O,128.057,0.927,0.877
843,857336428344134280,spectral_match,Vulkazit,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,,212.118,0.937,0.94211984
862,857336428541266576,spectral_match,Rivanicline,CNCCC=CC1=CN=CC=C1,,163.123,0.942,0.92628616
898,857336428839062172,structure_db_match,triethylamine,CCN(CC)CC,C6H15N,102.128,0.95,0.89
925,857336430026050252,denovo,6-Aminohexyloxidanium,C(CCCO)CCN,C6H15NO,100.112,0.973,-0.179
1068,857336429254298284,spectral_match,Dicha,C1CCC(CC1)NC2CCCCC2,,182.19,0.953,0.9365913
1124,857336428931336864,spectral_match,"4-Hydroxy-2,2,6,6-tetramethyl-1-piperidineethanol",CC1(CC(CC(N1CCO)(C)C)O)C,,202.18,0.951,0.94728816
1229,857336429543705272,spectral_match,Tributilamina,CCCCN(CCCC)CCCC,,186.222,0.963,0.8324613
1420,857336430227376852,spectral_match,Ammedlide,C1(=NC(=O)NC(=O)N1)N,,129.041,0.987,0.93777883
1670,857336430651001572,denovo,"2,5,8,11-tetraoxatridecan-13-ol",COCCOCCOCCOCCO,C9H20O5,209.138,1.02,-0.253
3190,857336432567798572,denovo,7-methyl-1H-benzo[d]imidazole,CC1=C2C(=CC=C1)NC=N2,C8H8N2,133.076,3.978,-1.558
3272,857336432727182132,spectral_match,Pentaglycol,C(COCCOCCOCCOCCO)O,,239.149,4.138,0.99170727
3364,857336433155001156,spectral_match,phthalate,C1=CC=C(C(=C1)C(=O)O)C(=O)O,,149.023,4.264,0.9294307
3474,857336434086136676,structure_db_match,"2,5,8,11-tetraoxatridecan-13-ol",COCCOCCOCCOCCO,C9H20O5,226.165,4.433,0.953
3481,857336434211965800,denovo,"2,5,8,11-tetraoxatridecan-13-ol",COCCOCCOCCOCCO,C9H20O5,209.138,4.438,-0.119
3534,857336434430069616,structure_db_match,Hexagol,C(COCCOCCOCCOCCOCCO)O,C12H26O7,283.175,4.507,0.848
3619,857336434769808252,denovo,3-[3-(2-Hydroxyethoxy)propoxy]propan-1-ol,C(CO)COCCCOCCO,C8H18O4,179.128,4.639,-2.652
3696,857336435528977300,structure_db_match,Hexagol,C(COCCOCCOCCOCCOCCO)O,C12H26O7,283.175,4.692,0.841
3697,857336435432508304,structure_db_match,Hexagol,C(COCCOCCOCCOCCOCCO)O,C12H26O7,300.202,4.68,0.85
3812,857336435981962148,structure_db_match,Epitope ID:161055,C(COCCOCCOCCOCCOCCOCCO)O,C14H30O8,327.201,4.853,0.986
3828,857336436195871660,structure_db_match,"2,5,8,11,14,17-Hexaoxanonadecane",CCOCCOCCOCCOCCOCCOC,C13H28O6,298.222,4.875,0.93
3954,857336436527221688,spectral_match,phthalate,C1=CC=C(C(=C1)C(=O)O)C(=O)O,,149.023,5.039,0.94354945
3958,857336436418169780,denovo,Isophthalic Acid,C1=CC(=CC(=C1)C(=O)O)C(=O)O,C8H6O4,167.034,5.035,-0.439
4138,857336437340916692,structure_db_match,PED-diol (n=8),C(COCCOCCOCCOCCOCCOCCOCCO)O,C16H34O9,371.228,5.163,0.994
4171,857336438133640176,spectral_match,Panosorb,CC=CC=CC(=O)O,,95.049,5.215,0.8246356
4337,857336438553070592,structure_db_match,Glyme 5,COCCOCCOCCOCCOC,C10H22O5,223.154,5.356,0.808
4364,857336438766980104,spectral_match,Vulkazit,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,,212.118,5.375,0.96988666
4480,857336439073164308,denovo,2-[2-[2-[2-[2-[2-[2-[2-[2-(2-Aminooxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCON)O,C20H43NO11,474.291,5.551,-2.381
4645,857336439559703592,spectral_match,Polyoxyethylene (10),C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,,459.28,5.691,0.97280025
