id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score,cluster_label,cluster_membership_probability,cluster_outlier_score
8208,857336448313216500,structure_db_match,"3-(4-{2-[4-(2,3-dihydroxypropoxy)phenyl]propan-2-yl}phenoxy)propane-1,2-diol",CC(C)(C1=CC=C(C=C1)OCC(CO)O)C2=CC=C(C=C2)OCC(CO)O,C21H28O6,377.196,8.125,0.976,-1,0.0,0.8755566652887261
9186,857336449827360348,structure_db_match,"3-(4-{2-[4-(2,3-dihydroxypropoxy)phenyl]propan-2-yl}phenoxy)propane-1,2-diol",CC(C)(C1=CC=C(C=C1)OCC(CO)O)C2=CC=C(C=C2)OCC(CO)O,C21H28O6,377.196,8.827,0.98,-1,0.0,0.8755566652887261
9190,857336450062241388,structure_db_match,"3-(4-{2-[4-(2,3-dihydroxypropoxy)phenyl]propan-2-yl}phenoxy)propane-1,2-diol",CC(C)(C1=CC=C(C=C1)OCC(CO)O)C2=CC=C(C=C2)OCC(CO)O,C21H28O6,394.223,8.83,0.98,-1,0.0,0.8755566652887261
10503,857336453623205696,denovo,"N,N-Diethylbenzenesulfonamide",CCN(CC)S(=O)(=O)C1=CC=CC=C1,C10H15NO2S,214.09,9.865,-0.269,-1,0.0,0.8596612039754307
10601,857336453837115216,structure_db_match,"N,N-Diethylbenzenesulfonamide",CCN(CC)S(=O)(=O)C1=CC=CC=C1,C10H15NO2S,214.09,9.938,0.802,-1,0.0,0.8596612039754307
10741,857336454046830432,spectral_match,Delphene,CCN(CC)C(=O)C1=CC=CC(=C1)C,,192.138,10.047,0.92206067,-1,0.0,0.8596612039754307
10946,857336454466260864,structure_db_match,"N,N-Diethylbenzenesulfonamide",CCN(CC)S(=O)(=O)C1=CC=CC=C1,C10H15NO2S,214.09,10.198,0.84,-1,0.0,0.8596612039754307
11629,857336455460310988,structure_db_match,"N,N-Diethylbenzenesulfonamide",CCN(CC)S(=O)(=O)C1=CC=CC=C1,C10H15NO2S,214.09,10.719,0.853,-1,0.0,0.8596612039754307
11803,857336455741329372,denovo,1-Butyl-3-hexylurea,CCCCCCNC(=O)NCCCC,C11H24N2O,201.196,10.852,-0.452,-1,0.0,0.6259438496279656
11873,857336455972016108,denovo,N-Benzyl-2-phenylacetamide,C1=CC=C(C=C1)CC(=O)NCC2=CC=CC=C2,C15H15NO,226.123,10.974,-0.075,-1,0.0,0.8596612039754307
12299,857336456886374440,denovo,N-Benzyl-2-phenylacetamide,C1=CC=C(C=C1)CC(=O)NCC2=CC=CC=C2,C15H15NO,226.123,11.186,-0.035,-1,0.0,0.8596612039754307
