formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	CH6N2O5S	[M + H]+	CH7N2O5S+		1.000	40.898	40.898	0.000	8	0.314	10.279	10.279	-4.960		159.006	45	0.751	857337204435823791	857336421524195804	857336421490641371	119	
1	C2H4N2O4S	[M + H]+	C2H5N2O4S+		0.333	45.118	45.118	0.000	4	0.868	11.429	11.429	6.902		152.998	45	0.754	857337220067994972	857336421788436960	857336421775854047	200	
1	C6H7NS	[M + Na]+	C6H7NNaS+		0.217	7.821	6.667	1.153	1	0.185	-5.524	5.524	-4.127		148.019	45	0.754	857337195564870740	857336421993957860	857336421985569251	164	
1	C4H5N3O3S	[M + H]+	C4H6N3O3S+		0.282	50.366	50.366	0.000	6	0.989	10.276	10.276	5.917		176.013	45	0.756	857337202389003421	857336422186895848	857336422182701543	230	
1	CH2N2O2S	[M + H]+	CH3N2O2S+		0.333	20.863	20.863	0.000	2	0.313	17.196	17.196	9.582		106.992	45	0.757	857337201592085631	857336422358862316	857336422354668011	139	
1	C3H7BFO3	[M + Na]+	C3H7BFNaO3+		0.818	15.768	15.768	0.000	2	0.271	19.028	19.028	-2.727		143.040	46	0.759	857337208936312031	857336422522440176	857336422518245871	206	
1	C2H2F2O3	[M + Na]+	C2H2F2NaO3+		0.942	22.884	22.884	0.000	3	0.970	-19.588	19.588	3.622		134.987	46	0.761	857337196919630950	857336422677629428	857336422673435123	147	
1	H4N2O2S	[M + H]+	H5N2O2S+		1.000	19.192	19.192	0.000	2	0.533	12.619	12.619	10.877		97.008	46	0.761	857337190670117951	857336422841207288	857336422837012983	169	
1	C9O	[M + H]+	C9HO+		0.850	13.985	13.985	0.000	1	0.281	3.882	3.882	3.431		125.003	46	0.762	857337231182900721	857336422988007932	857336422983813627	141	
1	C2H5N3OS	[M + H]+	C2H6N3OS+		0.333	19.418	17.223	2.196	2	0.337	16.672	16.672	8.838		120.024	46	0.768	857337219908611401	857336423164168704	857336423159974399	204	
1	C2H4Cl2O2	[M + H]+	C2H5Cl2O2+		0.973	34.119	34.119	0.000	3	0.371	-10.156	10.156	0.449		130.966	46	0.768	857337205853498575	857336423361300996	857336423357106691	381	
1	C2H3F2N	[M + Na]+	C2H3F2NNa+		0.376	6.622	4.867	1.755	1	0.087	12.361	12.361	4.840		102.013	46	0.770	857337213180947735	857336423550044680	857336423541656071	248	
