spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	false	0		2	-1 eV	0.93544966	5	2	20 eV	[M + H]+	113.107	FTICR (LCMS)	C1CN2CCN1CC2	splash10-03di-1900000000-5d2d10d5a58356484167	Dabco EG	public_spectra_2506:(MSBNK-Eawag-EQ00429406)	IMNIMPAHZVJRPE	113.107	52	0.864	857336426855156312	857336426850962007	583	
1	SPECTRUM	false	0		2	-1 eV	0.94211984	12	2	75 eV	[M + H]+	212.118	Orbitrap (LCMS)	C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N	splash10-014l-9600000000-85b6b3c98dd97b4fef60	Vulkazit	public_spectra_2506:(MSBNK-LCSB-LU084505)	OWRCNXZUPFZXOS	212.118	56	0.937	857336428344134280	857336428339939975	843	
1	SPECTRUM	false	0		2	-1 eV	0.58410704	9	2	6 eV	[M + H]+	179.119	Q-ToF (LCMS)	C[N+]1(CCCC1C2=CN=CC=C2)[O-]	splash10-00o0-0900000000-cc4cb067949188e33a21	Oxynicotine	public_spectra_2506:(MSBNK-RIKEN-PR310815)	RWFBQHICRCUQJJ	179.118	56	0.939	857336428444797580	857336428440603275	867	
1	SPECTRUM	false	4		2	-1 eV	0.92628616	37	2	-1 eV (corrected -1 eV)	[M + H]+	163.123	Orbitrap (LCMS)	CNCCC=CC1=CN=CC=C1	splash10-001i-3900000000-0f0b4d318baf5ce973e3	Rivanicline	public_spectra_2506:(BRUNGS_MCEBIO_01188)	JUOSGGQXEBBCJB	163.123	57	0.942	857336428541266576	857336428537072271	862	
1	SPECTRUM	false	-1		2		0.94728816	9	2	36 eV	[M + H]+	202.180	Orbitrap (LCMS)	CC1(CC(CC(N1CCO)(C)C)O)C	splash10-0udi-9700000000-087b5eaf23f79dc93f01	4-Hydroxy-2,2,6,6-tetramethyl-1-piperidineethanol	public_spectra_2506:(MSBNK-UFZ-WANA405525AF82PH)	STEYNUVPFMIUOY	202.180	57	0.951	857336428931336864	857336428927142559	1124	
1	SPECTRUM	false	4		2	-1 eV	0.5854887	13	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	57	0.952	857336429044583076	857336429040388771	913	
1	SPECTRUM	false	83		2	-1 eV	0.9365913	3	2	38 eV	[M + H]+	182.190	Orbitrap (LCMS)	C1CCC(CC1)NC2CCCCC2	splash10-001i-9000000000-e92e37956681aaf6874f	Dicha	public_spectra_2506:(MSBNK-NaToxAq-NA003746)	XBPCUCUWBYBCDP	182.190	57	0.953	857336429254298284	857336429250103979	1068	
1	SPECTRUM	false	23		2	-1 eV	0.7676911	23	2	43 eV	[M + H]+	177.102	Orbitrap (LCMS)	CN1C(CCC1=O)C2=CN=CC=C2	splash10-001i-9000000000-3828809cc3974a5ee49d	Cotinina	public_spectra_2506:(MSBNK-Eawag-EQ328207)	UIKROCXWUNQSPJ	177.102	57	0.956	857336429451430580	857336429447236275	1118	
1	SPECTRUM	false	4		2	-1 eV	0.8324613	6	2	28 eV	[M + H]+	186.222	Orbitrap (LCMS)	CCCCN(CCCC)CCCC	splash10-0540-6900000000-02729894eebfe9f6df2e	Tributilamina	public_spectra_2506:(MSBNK-Eawag-EQ315005)	IMFACGCPASFAPR	186.222	58	0.963	857336429543705272	857336429543705271	1229	
35	SPECTRUM	false	34		2	-1 eV	0.6500949	3	2	7 eV	[M + H]+	100.112	Orbitrap (LCMS)	C1CCC(CC1)N	splash10-001i-9200000000-784fd5e818b551146b97	bmse000451	public_spectra_2506:(MSBNK-CASMI_2016-SM826601)	PAFZNILMFXTMIY	100.112	58	0.973	857336430026050252	857336430021855947	925	
1	SPECTRUM	false	36		2	-1 eV	0.93777883	4	2	31 eV	[M + H]+	129.041	Orbitrap (LCMS)	C1(=NC(=O)NC(=O)N1)N	splash10-014i-9000000000-7d2fd69743056c7c7705	Ammedlide	public_spectra_2506:(MSBNK-Eawag-EQ418607)	YSKUZVBSHIWEFK	129.041	59	0.987	857336430227376852	857336430223182547	1420	
1	SPECTRUM	false	25		2	-1 eV	0.54608727	8	2	43 eV	[M + H]+	177.102	Orbitrap (LCMS)	CN1C(CCC1=O)C2=CN=CC=C2	splash10-001i-9000000000-3828809cc3974a5ee49d	Cotinina	public_spectra_2506:(MSBNK-Eawag-EQ328207)	UIKROCXWUNQSPJ	177.102	118	1.971	857336432119008024	857336432114813719	2517	
1	SPECTRUM	false	2		2	-1 eV	0.5145506	4	2	-1 eV (corrected -1 eV)	[M + H]+	192.138	Orbitrap (LCMS)	CCCC(=O)NCCC1=CC=CC=C1	splash10-05fr-0900000000-99255a9cba8f4aa82d99	Ambcb5102142	public_spectra_2506:(CCMSLIB00012176284)	ZIOZMZMOOGVIFG	192.138	246	4.097	857336432647490352	857336432643296047	3265	
1	SPECTRUM	false	118		2	-1 eV	0.99170727	4	2	45 eV	[M + H]+	239.149	Orbitrap (LCMS)	C(COCCOCCOCCOCCO)O	splash10-000i-9000000000-0432708d43c94453536a	Pentaglycol	public_spectra_2506:(MSBNK-LCSB-LU086203)	JLFNLZLINWHATN	239.149	248	4.138	857336432727182132	857336432722987827	3272	
2	SPECTRUM	false	7		2	-1 eV	0.5341721	7	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	254	4.240	857336433041754944	857336433037560639	3334	
1	SPECTRUM	false	4		2	-1 eV	0.9294307	5	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	149.023	Orbitrap (LCMS)	C1=CC=C(C(=C1)C(=O)O)C(=O)O	splash10-0002-3900000000-84befaf1a62e34c8ea31	phthalate	public_spectra_2506:(CCMSLIB00006113214)	XNGIFLGASWRNHJ	149.023	256	4.264	857336433155001156	857336433155001155	3364	
1	SPECTRUM	false	1		2	-1 eV	0.5400833	8	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	265	4.415	857336433721232216	857336433717037911	3450	
1	SPECTRUM	false	13		2	-1 eV	0.71689147	18	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	165.091	Orbitrap (LCMS)	CC1(C2CCC1(C(=O)C2)C(=O)O)C	splash10-06dj-9700000000-af7a3357ed9475ea1f74	Oprea1_690247	public_spectra_2506:(CCMSLIB00006705532)	WDODWBQJVMBHCO	165.091	280	4.665	857336435164072840	857336435164072839	3644	
1	SPECTRUM	false	2		2	-1 eV	0.79560184	3	2	20 eV	[M + H]+	253.165	Q-ToF (LCMS)	COCCOCCOCCOCCOCCO	splash10-0a4j-9100000000-257ca8328ca5e1370408	3,6,9,12,15-Pentaoxahexadecanol	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000010)	SLNYBUIEAMRFSZ	253.165	292	4.872	857336436086819752	857336436082625447	3831	
1	SPECTRUM	false	24		2	-1 eV	0.50400054	7	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	301	5.022	857336436313312176	857336436309117871	3944	
1	SPECTRUM	false	54		2	-1 eV	0.94354945	5	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	149.023	Orbitrap (LCMS)	C1=CC=C(C(=C1)C(=O)O)C(=O)O	splash10-0002-3900000000-84befaf1a62e34c8ea31	phthalate	public_spectra_2506:(CCMSLIB00006113214)	XNGIFLGASWRNHJ	149.023	302	5.039	857336436527221688	857336436523027383	3954	
1	SPECTRUM	false	6		2	-1 eV	0.8246356	3	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	95.049	Orbitrap (LCMS)	CC=CC=CC(=O)O	splash10-014i-9000000000-06b005d2f9e6ad19b1f3	Panosorb	public_spectra_2506:(CCMSLIB00010114225)	WSWCOQWTEOXDQX	95.049	313	5.215	857336438133640176	857336438129445871	4171	
1	SPECTRUM	false	2		2	-1 eV	0.96988666	8	2	75 eV	[M + H]+	212.118	Orbitrap (LCMS)	C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N	splash10-014l-9600000000-85b6b3c98dd97b4fef60	Vulkazit	public_spectra_2506:(MSBNK-LCSB-LU084505)	OWRCNXZUPFZXOS	212.118	323	5.375	857336438766980104	857336438762785799	4364	
1	SPECTRUM	false	19		2	-1 eV	0.97280025	5	2	-1 eV (corrected -1 eV)	[M + H]+	459.280	N/A	C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O	splash10-0019-9600000000-64cd347fe8e46b4cc0c5	Polyoxyethylene (10)	public_spectra_2506:(CCMSLIB00003135910)	DTPCFIHYWYONMD	459.280	341	5.691	857336439559703592	857336439555509287	4645	
1	SPECTRUM	false	17		2	-1 eV	0.60484236	13	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	211.133	Orbitrap (LCMS)	CC(=O)CCCCC(=O)CCCCC(=O)O	splash10-053r-6900000000-19a568a9cba12fdfebc6	6,11-dioxododecanoic Acid	public_spectra_2506:(CCMSLIB00006702925)	OIAVTFGRDNUKCM	211.133	345	5.755	857336439819750452	857336439819750451	4789	
2	SPECTRUM	false	3		2	-1 eV	0.9312041	6	2	-1 eV (corrected -1 eV)	[M + H]+	503.306	N/A	C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O	splash10-0019-9700000000-90eea70ae3ee153baa75	Undecaethylene glycol	public_spectra_2506:(CCMSLIB00003138415)	PSVXZQVXSXSQRO	503.306	355	5.911	857336440100768832	857336440100768831	4892	
1	SPECTRUM	false	-1		2		0.6622174	8	2	-1 eV (corrected -1 eV)	[M + H]+	196.097	Orbitrap (LCMS)	CC(CC1=CC=C(C=C1)O)(C(=O)O)N	splash10-052b-9800000000-97711231a184782cb460	alpha-MPT	public_spectra_2506:(BRUNGS_MCEBIO_07687)	NHTGHBARYWONDQ	196.097	358	5.963	857336440541170768	857336440541170767	5081	
20	SPECTRUM	false	1		2	-1 eV	0.92730117	3	2	20 eV	[M + H]+	196.206	Q-ToF (LCMS)	CN(C1CCCCC1)C2CCCCC2	splash10-06sj-8900000000-41c7e949e2ea03cbffe3	Dicyclohexylmethylamine	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000545)	GSCCALZHGUWNJW	196.206	368	6.131	857336441036098660	857336441036098659	5234	
1	SPECTRUM	false	3		2	-1 eV	0.6539915	12	2	75 eV	[M + H]+	163.039	Orbitrap (LCMS)	CC1=CC2=C(C=C1)C(=O)OC2=O	splash10-0002-9400000000-95f109849d9ce2ecdf9d	Ambap19438-61-0	public_spectra_2506:(MSBNK-LCSB-LU019405)	ZOXBWJMCXHTKNU	163.039	383	6.375	857336441841405056	857336441841405055	5622	
1	SPECTRUM	false	41		2	-1 eV	0.89533746	13	2	32 eV	[M + H]+	134.071	Orbitrap (LCMS)	CC1=CC=CC2=NNN=C12	splash10-004j-9100000000-289c01d8d9d7d416ac8c	Tolytriazole	public_spectra_2506:(MSBNK-Eawag-EQ279107)	CMGDVUCDZOBDNL	134.071	390	6.502	857336442319555740	857336442319555739	5795	
1	SPECTRUM	false	14		2	-1 eV	0.72254956	27	2	-1 eV (corrected -1 eV)	[M + H]+	251.164	FTICR (LCMS)	CC1=C2C=C(C(CCC2(CCC1=O)C)CO)CO	null-null-null-null	Compound NP-011389	public_spectra_2506:(CCMSLIB00004708274)	DPBOXKYWJVXMAW	251.164	416	6.941	857336443808533748	857336443804339443	6454	
1	SPECTRUM	false	-1		2		0.63629127	20	2	55 eV	[M + H]+	267.159	Orbitrap (LCMS)	CC1=CC23C(CC1)(C4(CC(C(C4(O2)CO)O3)O)C)C	splash10-006t-9700000000-9c97a27f98cb9e474872	Sambucinol	public_spectra_2506:(MSBNK-AAFC-AC000573)	GFLMBFRNOPTZDK	267.159	420	7.008	857336444051803392	857336444047609087	6549	
1	SPECTRUM	false	4		2	-1 eV	0.9910265	6	2	28 eV	[M + H]+	186.222	Orbitrap (LCMS)	CCCCN(CCCC)CCCC	splash10-0540-6900000000-02729894eebfe9f6df2e	Tributilamina	public_spectra_2506:(MSBNK-Eawag-EQ315005)	IMFACGCPASFAPR	186.222	422	7.037	857336444383153424	857336444383153423	6590	
1	SPECTRUM	false	5		2	-1 eV	0.5104399	5	2	-1 eV (corrected -1 eV)	[M + H]+	229.143	Orbitrap (LCMS)	CC1=C(COC1=O)CCCCC(C(C)O)O	splash10-054o-9000000000-4547dfb4f49340eccdd3	Compound NP-008952	public_spectra_2506:(BRUNGS_NIHNP_00296)	HNNQILZBIHECCU	229.141	432	7.205	857336445318483260	857336445318483259	6849	
1	SPECTRUM	false	0		2	-1 eV	0.95281935	11	2	27 eV	[M + H]+	152.017	Orbitrap (LCMS)	C1=CC=C2C(=C1)NC(=O)S2	splash10-0giu-8900000000-d9c8bde35644ee90f45a	benzothiazolol	public_spectra_2506:(MSBNK-Eawag-EQ337506)	YEDUAINPPJYDJZ	152.017	447	7.450	857336446534831488	857336446530637183	7229	
1	SPECTRUM	false	-1		2		0.7824392	7	2	19 eV	[M + H]+	277.128	Orbitrap (LCMS)	CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O	splash10-0a4i-0900000000-550d7ef825027f130a1e	Eudraflex	public_spectra_2506:(MSBNK-CASMI_2016-SM878101)	DOOTYTYQINUNNV	277.128	460	7.669	857336447424023988	857336447419829683	7477	
1	SPECTRUM	false	-1		2		0.76648915	7	2	19 eV	[M + H]+	277.128	Orbitrap (LCMS)	CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O	splash10-0a4i-0900000000-550d7ef825027f130a1e	Eudraflex	public_spectra_2506:(MSBNK-CASMI_2016-SM878101)	DOOTYTYQINUNNV	277.128	471	7.855	857336447939923412	857336447939923411	7927	
1	SPECTRUM	false	18		2	-1 eV	0.81277573	8	2	-1 eV (corrected -1 eV)	[M + H]+	277.128	Orbitrap (LCMS)	CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O	splash10-0a4i-0900000000-21415634324b5ba3c209	Eudraflex	public_spectra_2506:(CCMSLIB00000579680)	DOOTYTYQINUNNV	277.128	491	8.186	857336448493571584	857336448493571583	8327	
1	SPECTRUM	false	0		2	-1 eV	0.60169995	13	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	195.138	Orbitrap (LCMS)	CC(C)(CCCCCC1C=CC(=O)O1)O	splash10-05ox-9100000000-201b748673e6061eeb62	(2S)-2-(6-hydroxy-6-methylheptyl)-2H-furan-5-one	public_spectra_2506:(BRUNGS_NIHNP_00946)	RFEPDQFPTNCOBK	195.138	524	8.738	857336449592479308	857336449592479307	9050	
3	SPECTRUM	false	4		2	-1 eV	0.5944911	16	2	40 eV	[M + H]+	204.102	Q-ToF (LCMS)	CC1=CC(=O)OC2=C1C=CC(=C2)N(C)C	splash10-00lr-1900000000-9e90c2b4e43aa2729250	Coumarin 311	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000126)	GZEYLLPOQRZUDF	204.102	526	8.761	857336449709919828	857336449709919827	9089	
2	SPECTRUM	false	0		2	-1 eV	0.77124095	5	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	135.080	N/A	CC(COC1=CC=CC=C1)O	splash10-0a4i-1900000000-60d48a5a6d446cbbf4da	Phenoxyisopropanol	public_spectra_2506:(CCMSLIB00003135283)	IBLKWZIFZMJLFL	135.081	529	8.810	857336449768640088	857336449768640087	9192	
1	SPECTRUM	false	0		2	-1 eV	0.8274949	9	2	-1 eV (corrected -1 eV)	[M + H]+	277.128	Orbitrap (LCMS)	CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O	splash10-0a4i-0900000000-21415634324b5ba3c209	Eudraflex	public_spectra_2506:(CCMSLIB00000579680)	DOOTYTYQINUNNV	277.128	534	8.895	857336450703969936	857336450703969935	9253	
1	SPECTRUM	false	9		2	-1 eV	0.9661962	4	2	32 eV	[M + H]+	216.159	Orbitrap (LCMS)	CCCCN(CCC(=O)OCC)C(=O)C	splash10-000i-9000000000-a14f97b78541a2b61e6a	Merck 3535	public_spectra_2506:(MSBNK-Eawag-EQ01142105)	VZRKEAFHFMSHCD	216.160	543	9.049	857336451148566188	857336451148566187	9475	
1	SPECTRUM	false	11		2	-1 eV	0.5903354	9	2	-1 eV (corrected -1 eV)	[M + H]+	203.128	Orbitrap (LCMS)	CC(CC1CCC(O1)C(C)C(=O)O)O	splash10-066u-9000000000-c9bc9bd02dd27c473e8a	(2S)-2-[(2S,5R)-5-[(2R)-2-hydroxypropyl]oxolan-2-yl]propanoic acid	public_spectra_2506:(BRUNGS_NIHNP_01226)	IVOODSRSVJPWLY	203.128	553	9.214	857336451450556096	857336451446361791	9662	
3	SPECTRUM	false	1		2	-1 eV	0.75588167	8	2	20 eV	[M + H]+	269.201	Q-ToF (LCMS)	CC(C)CC(C)N(C1=CC=CC=C1)C2=CC=C(C=C2)N	splash10-001i-0910000000-f3c389f3588fb33f954a	N-(1,3-Dimethylbutyl)-N-phenylbenzene-1,4-diamine	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000350)	KZTCAXCBXSIQSS	269.201	570	9.506	857336452637544184	857336452637544183	10008	
1	SPECTRUM	false	3		2	-1 eV	0.7704625	4	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	135.080	N/A	CC(COC1=CC=CC=C1)O	splash10-0a4i-1900000000-60d48a5a6d446cbbf4da	Phenoxyisopropanol	public_spectra_2506:(CCMSLIB00003135283)	IBLKWZIFZMJLFL	135.080	572	9.537	857336452805316356	857336452805316355	10052	
1	SPECTRUM	false	0		2	-1 eV	0.92897713	4	2	28 eV	[M + H]+	284.961	Orbitrap (LCMS)	C(CCl)OP(=O)(OCCCl)OCCCl	splash10-03dj-9200000000-2f9c23d3696687adbe54	Fyrol CF	public_spectra_2506:(MSBNK-UFZ-WANA016713D9F1PH)	HQUQLFOMPYWACS	284.961	573	9.550	857336452981477136	857336452977282831	10094	
1	SPECTRUM	false	4		2	-1 eV	0.55363953	13	2	-1 eV (corrected -1 eV)	[M + H]+	209.117	Orbitrap (LCMS)	CC=CC1=CC(=C(C=C1OC)OC)OC	splash10-0pdi-3900000000-ab8e002eb15cf81e9b37	Asarone	public_spectra_2506:(BRUNGS_MCEBIO_07343)	RKFAZBXYICVSKP	209.117	590	9.833	857336453572874044	857336453568679739	10469	
2	SPECTRUM	false	1		2	-1 eV	0.7107663	5	2	30 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0002-0900000000-559af09422163ba298d1	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080702)	JHWNWJKBPDFINM	198.185	591	9.843	857336453518348088	857336453518348087	10492	
1	SPECTRUM	false	4		2	-1 eV	0.76787794	8	2	-1 eV (corrected -1 eV)	[M + H]+	214.090	Orbitrap (LCMS)	CCCCNS(=O)(=O)C1=CC=CC=C1	splash10-002b-9300000000-ad9376f9fad04a10a8bd	Uniplex 214	public_spectra_2506:(CCMSLIB00012728766)	IPRJXAGUEGOFGG	214.090	592	9.865	857336453623205696	857336453619011391	10503	
1	SPECTRUM	false	0		2	-1 eV	0.74579996	7	2	-1 eV (corrected -1 eV)	[M + H]+	214.090	Orbitrap (LCMS)	CCCCNS(=O)(=O)C1=CC=CC=C1	splash10-002b-9300000000-ad9376f9fad04a10a8bd	Uniplex 214	public_spectra_2506:(CCMSLIB00012728766)	IPRJXAGUEGOFGG	214.090	596	9.938	857336453837115216	857336453837115215	10601	
3	SPECTRUM	false	13		2	-1 eV	0.783961	6	2	30 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0002-0900000000-559af09422163ba298d1	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080702)	JHWNWJKBPDFINM	198.185	600	10.007	857336453941972824	857336453941972823	10685	
1	SPECTRUM	false	14		2	-1 eV	0.92206067	11	2	-1 eV (corrected -1 eV)	[M + H]+	192.138	Orbitrap (LCMS)	CCN(CC)C(=O)C1=CC=CC(=C1)C	splash10-014l-5900000000-3854fb6fb614291d3537	Delphene	public_spectra_2506:(BRUNGS_MCEBIO_07450)	MMOXZBCLCQITDF	192.138	603	10.047	857336454046830432	857336454046830431	10741	
1	SPECTRUM	false	-1		2		0.8078584	13	2	-1 eV (corrected -1 eV)	[M + H]+	279.093	N/A	C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3	splash10-0gdi-0490000000-b19b81d14be3e19973e6	Triphenylphosphanoxid	public_spectra_2506:(CCMSLIB00003139711)	FIQMHBFVRAXMOP	279.093	609	10.144	857336454197825388	857336454197825387	10835	
1	SPECTRUM	false	3		2	-1 eV	0.86267984	7	2	60 eV	[M + H]+	230.175	Orbitrap (LCMS)	CCC(C)OC(=O)N1CCCCC1CCO	splash10-001i-7900000000-f37268309c628ceaa722	Bayrepel	public_spectra_2506:(MSBNK-LCSB-LU045904)	QLHULAHOXSSASE	230.175	610	10.172	857336454353014648	857336454353014647	10874	
1	SPECTRUM	false	7		2	-1 eV	0.7689002	6	2	-1 eV (corrected -1 eV)	[M + H]+	214.090	Orbitrap (LCMS)	CCCCNS(=O)(=O)C1=CC=CC=C1	splash10-002b-9300000000-ad9376f9fad04a10a8bd	Uniplex 214	public_spectra_2506:(CCMSLIB00012728766)	IPRJXAGUEGOFGG	214.090	612	10.198	857336454466260864	857336454462066559	10946	
1	SPECTRUM	false	37		2	-1 eV	0.90075797	25	2	75 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9100000000-11f8d6de963cd1b8514d	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080705)	JHWNWJKBPDFINM	198.185	617	10.288	857336454508203908	857336454504009603	11050	
1	SPECTRUM	false	1		2	-1 eV	0.51190335	14	2	-1 eV (corrected -1 eV)	[M + H]+	217.143	Orbitrap (LCMS)	CCC(CC1CCC(O1)C(C)C(=O)O)O	splash10-05qc-9000000000-ae3de59d86b4dc4a633e	Homononactinic acid	public_spectra_2506:(BRUNGS_NIHNP_01399)	HTCUURQJNZBKIA	217.144	622	10.373	857336454596284300	857336454596284299	11184	
1	SPECTRUM	false	0		2	-1 eV	0.91294837	5	2	35 eV	[M + H]+	225.196	Q-ToF (LCMS)	C1CCC(CC1)NC(=O)NC2CCCCC2	splash10-0bu3-9200000000-fb15d02b9e626f40ced9	Oprea1_447813	public_spectra_2506:(MSBNK-MSSJ-MSJ00195)	ADFXKUOMJKEIND	225.196	624	10.401	857336454680170388	857336454680170387	11199	
1	SPECTRUM	false	7		2	-1 eV	0.9318055	5	2	35 eV	[M + H]+	225.196	Q-ToF (LCMS)	C1CCC(CC1)NC(=O)NC2CCCCC2	splash10-0bu3-9200000000-fb15d02b9e626f40ced9	Oprea1_447813	public_spectra_2506:(MSBNK-MSSJ-MSJ00195)	ADFXKUOMJKEIND	225.196	633	10.542	857336455032491952	857336455032491951	11375	
