structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	2	0.110	0.110	-86.103		0.333	45.118	C2H6N2O5S	[M - H2O + H]+	C2H5N2O4S+	XVYVRCKPGQRPJJ	InChI=1S/C2H6N2O5S/c3-10(7,8)4-9-1-2(5)6/h4H,1H2,(H,5,6)(H2,3,7,8)	2-(Sulfamoylamino)oxyacetic acid	C(C(=O)O)ONS(=O)(=O)N	-1.700	114958894	PUBCHEM:(114958894)	2	152.998	45	0.754	857337220067994973	857336421788436960	857336421775854047	200	
1	6	0.131	0.131	-82.530		0.001	44.800	C7H4FNO2	[M + Na]+	C7H4FNNaO2+	LAMXJMFSONZHOP	InChI=1S/C7H4FNO2/c8-4-2-1-3-5-6(4)7(10)9-11-5/h1-3H,(H,9,10)	4-Fluorobenzo[d]isoxazol-3(2H)-one	C1=CC2=C(C(=C1)F)C(=O)NO2	1.200	11815956	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(11815956);DSSTox:(DTXSID70473429);PUBMED:(null)	137455730754	176.013	45	0.756	857337202389003426	857336422186895848	857336422182701543	230	
1	2	0.033	0.033	-110.386		0.333	20.863	CH4N2O3S	[M - H2O + H]+	CH3N2O2S+	VYYXFWWMQOQXIH	InChI=1S/CH4N2O3S/c2-1(4)3-7(5)6/h(H,5,6)(H3,2,3,4)	Sufonylurea	C(=O)(N)NS(=O)O	-0.400	21618712;21618713	BloodExposome:(21618712);PUBCHEM:(21618712 21618713);PUBMED:(null)	4194370	106.992	45	0.757	857337201592085632	857336422358862316	857336422354668011	139	
1	5	0.012	0.012	-49.328		0.008	11.078	C4H6F2N2	[M + Na]+	C4H6F2N2Na+	WCFXJMJACHYWPV	InChI=1S/C4H6F2N2/c1-3(7-5)4(2)8-6/h1-2H3	2-N,3-N-difluorobutane-2,3-diimine	CC(=NF)C(=NF)C	1.000	21765985;9601331;5466515;533411	PUBCHEM:(21765985 9601331 5466515 533411)	2	143.040	46	0.759	857337208936312035	857336422522440176	857336422518245871	206	
1	1	0.081	0.081	-36.196		0.942	22.884	C2H2F2O3	[M + Na]+	C2H2F2NaO3+	DBELYRGXKAWNDK	InChI=1S/C2H2F2O3/c3-2(4)1-6-7-5/h1,5H	1,1-Difluoro-2-(trioxidanyl)ethene	C(=C(F)F)OOO	0.400	57896563	PUBCHEM:(57896563)	2	134.987	46	0.761	857337196919630950	857336422677629428	857336422673435123	147	
1	1	0.068	0.068	-39.913		1.000	19.192	H4N2O2S	[M + H]+	H5N2O2S+	NVBFHJWHLNUMCV	InChI=1S/H4N2O2S/c1-5(2,3)4/h(H4,1,2,3,4)	Sulfamide	NS(=O)(=O)N	-1.700	19785664;23466980;82267;148242237;44391604	PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00040642);HMDB:(HMDB0258578);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(82267);CHEBI:(29368);PUBCHEM:(19785664 23466980 82267 148242237 44391604);DSSTox:(DTXSID5064885);PUBMED:(null)	137527296106	97.008	46	0.761	857337190670117951	857336422841207288	857336422837012983	169	
1	1	0.029	0.029	-93.365		0.333	19.418	C2H5N3OS	[M + H]+	C2H6N3OS+	KSKPFCYLLBRSBQ	InChI=1S/C2H5N3OS/c3-2(7)5-4-1-6/h1H,(H,4,6)(H3,3,5,7)	1-Formyl-3-thiosemicarbazide	C(=O)NNC(=S)N	-0.900	2775486	NORMAN:(NS00027326);PUBCHEM:(2775486);DSSTox:(DTXSID1020641);PUBMED:(null)	137439215682	120.024	46	0.768	857337219908611401	857336423164168704	857336423159974399	204	
1	1	0.025	0.025	-75.383		0.973	34.119	C2H4Cl2O2	[M + H]+	C2H5Cl2O2+	RUUBIFVWPACNLY	InChI=1S/C2H4Cl2O2/c3-1(4)2(5)6/h1-2,5-6H	2,2-Dichloro-1,1-ethanediol	C(C(Cl)Cl)(O)O	0.400	85275	PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00055229);HMDB:(HMDB0062193);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);CHEBI:(34213);KEGG:(C14860);PUBCHEM:(85275);DSSTox:(DTXSID10936422)	137523101994	130.966	46	0.768	857337205853498575	857336423361300996	857336423357106691	381	
1	1	0.053	0.053	-138.279		1.000	48.028	C4H3F2NO2	[M + Na]+	C4H3F2NNaO2+	BFFSYVAOPYBXSM	InChI=1S/C4H3F2NO2/c5-4(6,1-2-7)3(8)9/h1H2,(H,8,9)	3-Cyano-2,2-difluoropropanoic acid	C(C#N)C(C(=O)O)(F)F	0.200	84716150	PUBCHEM:(84716150)	2	158.003	46	0.772	857337204641344698	857336423730399756	857336423722011147	208	
1	1	0.070	0.070	-84.523		1.000	33.237	C3H3F2NO	[M + Na]+	C3H3F2NNaO+	HHMFJCVUFBFVNG	InChI=1S/C3H3F2NO/c4-3(5)1-6-2-7/h3H,1H2	1,1-Difluoro-2-isocyanatoethane	C(C(F)F)N=C=O	1.900	22392485	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(22392485);DSSTox:(DTXSID00625398)	137506062338	130.008	46	0.773	857337208986643698	857336423906560528	857336423902366223	205	
1	8	0.209	0.209	-61.910		0.000	46.729	C8H2F2O3	[M + K]+	C8H2F2KO3+	UATBWQQFLABWKR	InChI=1S/C8H2F2O3/c9-5-1-3-4(2-6(5)10)8(12)13-7(3)11/h1-2H	4,5-Difluorophthalic anhydride	C1=C2C(=CC(=C1F)F)C(=O)OC2=O	1.500	639745	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(639745);DSSTox:(DTXSID10348667)	137506062338	222.961	48	0.799	857337226242010536	857336424195967512	857336424191773207	232	
1	1	0.118	0.118	-117.984		0.429	56.168	C7H4ClNO4S	[M + Na]+	C7H4ClNNaO4S+	GEGGQSRHLRMCSU	InChI=1S/C7H4ClNO4S/c8-4-3(7-12-1-2-13-7)14-5(9-4)6(10)11/h1-2,7H,(H,10,11)	4-Chloro-5-(1,3-dioxol-2-yl)-1,3-thiazole-2-carboxylic acid	C1=COC(O1)C2=C(N=C(S2)C(=O)O)Cl	1.700	141093528	PUBCHEM:(141093528)	2	255.944	50	0.826	857337215672364336	857336425139685936	857336425127103023	398	
1	1	0.004	0.004	-14.885		1.000	15.468	C3H2Cl2	[M + H3N + H]+	C3H6Cl2N+	KNMQFZVRVIGMPA	InChI=1S/C3H2Cl2/c4-2-1-3-5/h2-3H	1,3-Dichloroallene	C(=C=CCl)Cl	1.400	55061	PUBCHEM:(55061);DSSTox:(DTXSID20232508)	137438953474	125.986	50	0.829	857337218004397382	857336425517173304	857336425512978999	429	
1	6	0.056	0.056	-91.258		0.133	15.374	C3H5Cl2N	[M + C2H3N + H]+	C5H9Cl2N2+	WILYSFGDCDXQIC	InChI=1S/C3H6Cl2N/c1-6(2)3(4)5/h1-2H3/q+1	Dichloromethylidene(dimethyl)azanium	C[N+](=C(Cl)Cl)C	1.900	419147	NORMAN:(NS00059541);PUBCHEM:(419147)	262146	167.013	50	0.834	857337242809511473	857336426452503116	857336426448308811	428	
