id,sirius_id,molecular_formula,precursor_mz,rt,score
179,857316057075444183,C3H8N2O3S2,222.961,0.782,0.922
193,857316057561983455,C3H5FO3,131.011,0.784,0.986
158,857316057830418915,C5H5F2NO2,172.019,0.786,1.0
154,857316058325346795,H4N2O2S,97.008,0.787,1.0
189,857316059168401923,C4H3F2NO2,158.003,0.791,1.0
256,857316059709467155,C2H2F2O3,134.987,0.794,0.939
196,857316060678351407,C3H3F2NO,130.008,0.801,1.0
277,857316061231999547,C2H3NO4S,159.969,0.803,0.928
281,857316061617875527,C6H3O3,161.97,0.804,0.906
589,857316064000240291,C6H12N2,113.107,0.874,1.0
698,857316064239315627,C6H15NO3,150.113,0.894,1.0
682,857316064470002355,C6H15NO3,172.094,0.898,1.0
715,857316064566471351,C5H13NO2,120.102,0.903,1.0
750,857316064650357435,C6H15NO4,166.107,0.907,1.0
722,857316064742632127,C6H12N2O,129.102,0.908,1.0
718,857316064839101123,CH6N2O4S2,174.985,0.909,1.0
719,857316064927181511,C2H4N2O4S2,184.969,0.912,1.0
812,857316065585687271,C3H5N5O,128.057,0.93,0.997
1067,857316066370022155,C9H21NO2,158.154,0.96,1.0
1109,857316066466491151,C12H23N,182.19,0.961,1.0
993,857316066554571539,C6H15N,102.128,0.961,1.0
1145,857316066638457623,C8H19N,130.159,0.961,1.0
1110,857316066818812703,C12H23NO,198.185,0.972,1.0
1343,857316067225660211,C5H10O2Si2,159.031,0.984,0.999
1319,857316067313740599,C8H10N2O,151.087,0.988,1.0
1253,857316067393432379,C6H13NO4,164.092,0.988,1.0
1400,857316067645090631,C5H9BrO5,250.954,0.996,1.0
1923,857316067720588107,C13H25N5O3,300.202,1.0,1.0
1489,857316068089686879,C4H7NO4S2,219.973,1.003,1.0
1470,857316068160990051,C5H10F2N2,137.09,1.004,1.0
1675,857316068320373611,C5H8O2,101.06,1.009,1.0
1525,857316068815301507,C8H10N4O2,195.088,1.027,1.0
1649,857316069016628107,C7H6O2,123.044,1.027,1.0
1696,857316069117291407,C8H14O4,175.097,1.033,1.0
1807,857316069335395223,C9H20O5,209.138,1.044,0.984
1818,857316069662550947,C6H15N3O3,200.1,1.051,1.0
1665,857316069868071851,C4H6N2O3S,200.972,1.054,1.0
1902,857316069977123759,C8H8O3,153.055,1.055,1.0
1822,857316070115535795,C8H16O6,209.102,1.056,1.0
2084,857316070304279479,C6H6O3,127.039,1.071,1.0
2213,857316070807595975,C7H5NS,136.022,1.1,0.997
2248,857316071193471959,C8H4O4,165.018,1.137,0.999
2328,857316071390604255,C5H9NO2Se,189.993,1.141,0.976
2347,857316071671622635,C2H8N2O5S2,242.95,1.177,0.922
2379,857316071759703023,C5H11NO,102.091,1.183,1.0
2456,857316072367877131,C5H11NO3,134.081,1.357,1.0
2665,857316072460151823,C9H19NO,158.154,1.586,1.0
2845,857316072757947419,C10H16,137.133,1.932,1.0
2889,857316073131240491,C6H3NO2S,175.977,2.0,0.955
2900,857316073244486703,C6H12O,101.096,2.01,1.0
2946,857316073437424695,C6H11BrO3,232.98,2.143,0.955
3288,857316074142067795,C6H13N,100.112,2.769,1.0
3472,857316074330811483,C10H20N2O4,233.15,3.275,1.0
3713,857316075446496399,C10H22O6,239.149,3.795,0.997
3815,857316075706543259,C6H10O,99.08,3.859,1.0
3854,857316075798817951,C6H15N,102.128,3.874,1.0
3843,857316075874315427,C12H23NO,198.185,3.895,1.0
3831,857316076025310379,C15H29N5O5,360.223,3.952,0.803
3929,857316076109196463,C8H8N2,133.076,3.974,0.981
3954,857316076377631931,C6H15N3O3,200.1,4.007,1.0
4007,857316076276968631,C15H29N5O5,360.223,4.021,0.838
3963,857316076201471155,C12H23NO,198.185,4.024,1.0
4141,857316076469906623,C9H18N2,155.154,4.202,1.0
4179,857316076557987011,C12H23NO,198.185,4.254,1.0
4220,857316076826422479,C12H26O7,283.175,4.303,0.973
4259,857316076922891475,C8H19N,130.159,4.337,1.0
4309,857316077203909855,C14H31NO8,342.212,4.386,0.875
4351,857316077300378851,C12H23NO,198.185,4.411,1.0
4376,857316077472345323,C8H19N,130.159,4.426,1.0
4549,857316077640117491,C12H17NO2,208.133,4.606,0.998
4752,857316078046964999,C5H10F2N2,137.09,4.795,1.0
4838,857316078210542863,C8H13ClF2N2O,227.074,4.866,1.0
4852,857316078491561247,C11H24O6,253.165,4.873,0.947
