structurePerIdRank	formulaRank	CSI:FingerIDScore	ModelScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	8	-27.896	-5.194		0.009	6.306	C2H10N2O4P2	[M + K]+	C2H10KN2O4P2+	AETQTIXIFGLPFT	InChI=1S/C2H10N2O4P2/c3-9(4,5)1-2-10(6,7)8/h1-2H2,(H4,3,4,5)(H2,6,7,8)		NP(N)(=O)CCP(=O)(O)O	226.975	43	0.723	857316937149976274	857316056718928335	857316056693762510	95	
1	2	-71.326	-3.627		0.069	54.079	C5H3F3O4	[M + K]+	C5H3F3KO4+	FOJLHZRXVGJWIL	InChI=1S/C5H3F3O4/c1-2-11-4(10)12-3(9)5(6,7)8/h2H,1H2		C=COC(=O)OC(=O)C(F)(F)F	222.961	47	0.782	857316993336873135	857316057075444183	857316057071249878	179	
1	5	-111.544	-5.294		0.013	12.202	C4H6F2N2	[M + Na]+	C4H6F2N2Na+	BITSAIYUXFMMTI	InChI=1S/C4H6F2N2/c5-4(6,8)2-1-3-7/h1-2,8H2		N#CCCC(N)(F)F	143.040	47	0.782	857316990233088143	857316057285159387	857316057280965082	303	
1	1	-58.056	-9.407		0.986	23.802	C3H5FO3	[M + Na]+	C3H5FNaO3+	PINVZQSZLGVANY	InChI=1S/C3H5FO3/c1-2-3(4)6-7-5/h2,5H,1H3		CC=C(F)OOO	131.011	47	0.784	857316943244300045	857316057561983455	857316057553594846	193	
1	1	-135.479	-6.576		1.000	58.617	C5H5F2NO2	[M + Na]+	C5H5F2NNaO2+	JUHAACLSPUODAL	InChI=1S/C5H5F2NO2/c6-5(7)3-1-2-4-8(9)10/h5H,2,4H2		O=[N+]([O-])CCC#CC(F)F	172.019	47	0.786	857316976941338666	857316057830418915	857316057822030306	158	
1	1	-37.475	-7.012		1.000	48.578	CH6N2O5S	[M + H]+	CH7N2O5S+	WQIMFUCTQWHQIG	InChI=1S/CH6N2O5S/c2-8-9(5,6)1-7-3-4/h3-4H,1-2H2		NOS(=O)(=O)CONO	159.006	47	0.786	857316941717573363	857316058090465767	857316058077882854	132	
1	1	-25.758	-7.010		1.000	19.901	H4N2O2S	[M + H]+	H5N2O2S+	MUFCCORUDIETDV	InChI=1S/H4N2O2S/c1-4-5-2-3/h2-3H,1H2		NOSNO	97.008	47	0.787	857316931802238583	857316058325346795	857316058316958186	154	
1	3	-55.896	-7.066		0.333	55.798	CH2N2O2S	[M + CH2O2 + H]+	C2H5N2O4S+	QKPWUCVFSSVMPD	InChI=1S/CH2N2O2S/c4-3-5-2-1-6/h1H,(H,2,6)		O=NON=CS	152.997	47	0.787	857316956343111547	857316058463758831	857316058459564526	204	
1	1	-87.943	-7.192		1.000	57.177	C4H5F2NO3	[M + Na]+	C4H5F2NNaO3+	YRANPRQHXLFNBO	InChI=1S/C4H5F2NO3/c5-2(4(8)9)3(6)10-1-7/h1,7H2,(H,8,9)		NCOC(F)=C(F)C(=O)O	176.013	47	0.790	857316958113107854	857316058719611383	857316058711222774	166	
1	2	-62.121	-5.304		0.058	38.676	C4H8N2O4S2	[M + K]+	C4H8KN2O4S2+	KZDHLAPQISNBNW	InChI=1S/C4H8N2O4S2/c7-4(8)3-6-12(9,10)2-1-5-11/h6H,1-3H2,(H,7,8)		O=C(O)CNS(=O)(=O)CCN=S	250.956	47	0.790	857316970792488961	857316058862217723	857316058853829114	161	
1	1	-83.385	-7.140		1.000	51.787	C4H3F2NO2	[M + Na]+	C4H3F2NNaO2+	QOUIFEWQZQACCE	InChI=1S/C4H3F2NO2/c1-2(5)7-3(6)4(8)9/h1H2,(H,8,9)		C=C(F)N=C(F)C(=O)O	158.003	47	0.791	857316970188509164	857316059168401923	857316059164207618	189	
1	2	-44.808	-4.805		0.333	18.735	C2H7N3O2S	[M - H2O + H]+	C2H6N3OS+	GUVJJUDIJBVKOZ	InChI=1S/C2H7N3O2S/c1-2(6)4-5-8(3)7/h8H,1H3,(H,4,6)(H2,3,5,7)		CC(=O)NN[SH](=N)=O	120.024	48	0.792	857316936755711663	857316059311008263	857316059306813958	174	
1	1	-77.717	-8.430		0.250	21.949	CH2N2O2S	[M + H]+	CH3N2O2S+	XMSIWBORBUSATG	InChI=1S/CH2N2O2S/c4-5-1-2-6-3-1/h4H,(H,2,3)		OOc1ns[nH]1	106.992	48	0.793	857316938500542165	857316059449420299	857316059445225994	185	
1	1	-44.900	-4.102		0.458	25.375	C4H3FO2	[M + Na]+	C4H3FNaO2+	FIPRXOTVHXCZGZ	InChI=1S/C4H3FO2/c1-2-3(5)4(6)7/h1H2,(H,6,7)		C=C=C(F)C(=O)O	125.003	48	0.794	857316976500936725	857316059583638031	857316059579443726	254	
