formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C5H4N2O5S	[M + Na]+	C5H4N2NaO5S+		0.604	10.545	10.545	0.000	2	0.240	15.038	15.038	7.609		226.975	43	0.723	857316937149976267	857316056718928335	857316056693762510	95	
1	C3HClN2O3	[M + H]+	C3H2ClN2O3+		0.093	0.391	0.391	0.000	0	0.000			13.116		148.977	46	0.765	857316933609983642	857316056911866323	857316056907672018	368	
1	C3H8N2O3S2	[M + K]+	C3H8KN2O3S2+		0.922	56.672	56.672	0.000	15	0.932	4.296	4.296	1.470		222.961	47	0.782	857316993336873134	857316057075444183	857316057071249878	179	
1	C3H7BFO3	[M + Na]+	C3H7BFNaO3+		0.853	16.376	16.376	0.000	2	0.539	17.850	17.850	-2.936		143.040	47	0.782	857316990233088139	857316057285159387	857316057280965082	303	
1	C3H5FO3	[M + Na]+	C3H5FNaO3+		0.986	23.802	23.802	0.000	2	0.562	18.226	18.226	-1.244		131.011	47	0.784	857316943244300045	857316057561983455	857316057553594846	193	
1	C5H5F2NO2	[M + Na]+	C5H5F2NNaO2+		1.000	58.617	56.142	2.475	7	0.925	13.440	13.440	2.700		172.019	47	0.786	857316976941338666	857316057830418915	857316057822030306	158	
1	CH6N2O5S	[M + H]+	CH7N2O5S+		1.000	48.578	48.578	0.000	8	0.457	8.532	8.532	-4.898		159.006	47	0.786	857316941717573363	857316058090465767	857316058077882854	132	
1	H4N2O2S	[M + H]+	H5N2O2S+		1.000	19.901	19.901	0.000	2	0.823	12.227	12.227	10.671		97.008	47	0.787	857316931802238583	857316058325346795	857316058316958186	154	
1	C2H4N2O4S	[M + H]+	C2H5N2O4S+		0.333	55.798	55.172	0.627	5	0.900	9.919	9.919	6.771		152.997	47	0.787	857316956343111545	857316058463758831	857316058459564526	204	
1	C4H5F2NO3	[M + Na]+	C4H5F2NNaO3+		1.000	57.177	52.771	4.406	8	0.993	12.134	14.057	2.840		176.013	47	0.790	857316958113107854	857316058719611383	857316058711222774	166	
1	C7H7BrO5	[M + H]+	C7H8BrO5+		0.903	41.428	41.428	0.000	9	0.780	6.164	6.164	3.937		250.956	47	0.790	857316970792488960	857316058862217723	857316058853829114	161	
1	C2H3F2N	[M + Na]+	C2H3F2NNa+		0.700	7.021	5.301	1.720	1	0.130	11.180	11.180	4.742		102.013	47	0.791	857316975494303758	857316059009018367	857316059000629758	148	
1	C4H3F2NO2	[M + Na]+	C4H3F2NNaO2+		1.000	51.787	47.319	4.469	7	0.958	12.750	16.010	3.320		158.003	47	0.791	857316970188509164	857316059168401923	857316059164207618	189	
1	C2H5N3OS	[M + H]+	C2H6N3OS+		0.333	18.735	18.735	0.000	2	0.463	17.431	17.431	8.755		120.024	48	0.792	857316936755711662	857316059311008263	857316059306813958	174	
1	CH2N2O2S	[M + H]+	CH3N2O2S+		0.250	21.949	21.949	0.000	2	0.417	16.086	16.086	9.489		106.992	48	0.793	857316938500542165	857316059449420299	857316059445225994	185	
1	C4H3FO2	[M + Na]+	C4H3FNaO2+		0.458	25.375	25.375	0.000	2	0.802	18.147	18.147	13.374		125.003	48	0.794	857316976500936725	857316059583638031	857316059579443726	254	
1	C2H2F2O3	[M + Na]+	C2H2F2NaO3+		0.939	23.677	23.677	0.000	3	0.960	-19.908	19.908	3.770		134.987	48	0.794	857316946947870507	857316059709467155	857316059701078546	256	
1	C3N2O2	[M + Na]+	C3N2NaO2+		0.446	1.000	1.000	0.000	0	0.000			-9.984		118.984	48	0.796	857316951632908127	857316059826907671	857316059822713366	184	
1	C2H5AsFNO7	[M + K]+	C2H5AsFKNO7+		1.000	46.527	43.717	2.810	16	0.716	1.130	1.130	-2.811		287.889	48	0.797	857316986953142395	857316059969514011	857316059965319706	126	
1	C6H7NS	[M + Na]+	C6H7NNaS+		0.107	15.298	15.298	0.000	1	0.379	-6.720	6.720	-3.992		148.019	48	0.799	857316932972449417	857316060124703263	857316060116314654	192	
1	C5H3F2NO4	[M + Na]+	C5H3F2NNaO4+		0.951	23.465	23.465	0.000	5	0.898	13.502	13.502	2.452		201.993	48	0.799	857316950638858069	857316060250532387	857316060242143778	92	
