spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	false	9		2	-1 eV	0.5124207	11	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	151.039	Orbitrap (LCMS)	COC1=C(C=CC(=C1)C(=O)O)O	splash10-0udi-3900000000-d60d0896e248394e8245	Vanillate	public_spectra_2506:(CCMSLIB00010125636)	WKOLLVMJNQIZCI	151.035	49	0.818	857316062880361083	857316062880361082	350	
1	SPECTRUM	false	21		2	-1 eV	0.943969	5	2	20 eV	[M + H]+	113.107	FTICR (LCMS)	C1CN2CCN1CC2	splash10-03di-1900000000-5d2d10d5a58356484167	Dabco EG	public_spectra_2506:(MSBNK-Eawag-EQ00429406)	IMNIMPAHZVJRPE	113.107	52	0.874	857316064000240291	857316063996045986	589	
1	SPECTRUM	false	18		2	-1 eV	0.79880756	6	2	-1 eV (corrected -1 eV)	[M + H]+	150.112	Q-ToF (LCMS)	C(CO)N(CCO)CCO	splash10-00dr-9200000000-984fa2875c7cc77630dc	Daltogen	public_spectra_2506:(CCMSLIB00003139266)	GSEJCLTVZPLZKY	150.113	54	0.894	857316064239315627	857316064235121322	698	
2	SPECTRUM	false	2		2	-1 eV	0.90430397	3	2	20 eV	[M + H]+	118.086	Q-ToF (LCMS)	CCCC(C(=O)O)N	splash10-0a4i-9000000000-07f450af4a9c9dd0a25f	norvalin	public_spectra_2506:(MSBNK-Antwerp_Univ-METOX_P100503_EF88)	SNDPXSYFESPGGJ	118.086	56	0.925	857316065191422675	857316065187228370	846	
1	SPECTRUM	false	2		2	-1 eV	0.9318529	43	2	-1 eV (corrected -1 eV)	[M + H]+	163.123	Orbitrap (LCMS)	CNCCC=CC1=CN=CC=C1	splash10-001i-3900000000-0f0b4d318baf5ce973e3	Rivanicline	public_spectra_2506:(BRUNGS_MCEBIO_01188)	JUOSGGQXEBBCJB	163.123	57	0.945	857316066000923387	857316065996729082	859	
1	SPECTRUM	false	89		2	-1 eV	0.9471235	3	2	38 eV	[M + H]+	182.190	Orbitrap (LCMS)	C1CCC(CC1)NC2CCCCC2	splash10-001i-9000000000-e92e37956681aaf6874f	Dicha	public_spectra_2506:(MSBNK-NaToxAq-NA003746)	XBPCUCUWBYBCDP	182.190	58	0.961	857316066466491151	857316066466491150	1109	
1	SPECTRUM	false	1		2	-1 eV	0.56664884	14	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	58	0.972	857316066818812703	857316066814618398	1110	
1	SPECTRUM	false	37		2	-1 eV	0.93945426	4	2	31 eV	[M + H]+	129.041	Orbitrap (LCMS)	C1(=NC(=O)NC(=O)N1)N	splash10-014i-9000000000-7d2fd69743056c7c7705	Ammedlide	public_spectra_2506:(MSBNK-Eawag-EQ418607)	YSKUZVBSHIWEFK	129.041	59	0.989	857316067481512767	857316067477318462	1396	
1	SPECTRUM	false	0		2	-1 eV	0.8872851	16	2	75 eV	[M + H]+	195.088	Orbitrap (LCMS)	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	splash10-01p9-4900000000-009664006ab6a22bbad5	Caffeina	public_spectra_2506:(MSBNK-LCSB-LU119905)	RYYVLZVUVIJVGH	195.088	62	1.027	857316068815301507	857316068815301506	1525	
1	SPECTRUM	false	6		2	-1 eV	0.76138407	7	2	-1 eV (corrected -1 eV)	[M + H]+	123.044	Orbitrap (LCMS)	C1=CC(=CC=C1C=O)O	splash10-0002-9300000000-42324e505915ec619884	bmse000259	public_spectra_2506:(CCMSLIB00006113596)	RGHHSNMVTDWUBI	123.044	62	1.027	857316069016628107	857316069012433802	1649	
1	SPECTRUM	false	0		2	-1 eV	0.68006676	7	2	-1 eV (corrected -1 eV)	[M + H]+	153.055	Orbitrap (LCMS)	COC1=C(C=CC(=C1)C=O)O	splash10-02t9-8900000000-d283691d7f177fa9dd11	vaniline	public_spectra_2506:(CCMSLIB00006113698)	MWOOGOJBHIARFG	153.055	63	1.055	857316069977123759	857316069977123758	1902	
1	SPECTRUM	false	1		2	-1 eV	0.73244864	5	2	24 eV	[M + H]+	136.022	Orbitrap (LCMS)	C1=CC=C2C(=C1)N=CS2	splash10-000i-0900000000-df0660c0ba3ed7847630	Vangard BT	public_spectra_2506:(MSBNK-Eawag-EA034307)	IOJUPLGTWVMSFF	136.022	66	1.100	857316070807595975	857316070803401670	2213	
1	SPECTRUM	false	12		2	-1 eV	0.8245865	7	2	-1 eV (corrected -1 eV)	[M + Na]+	371.100	Orbitrap (LCMS)	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	splash10-059l-9065000000-63bdda72ae157dece8bf	Campathecin	public_spectra_2506:(CCMSLIB00011427902)	VSJKWCGYPAHWDS	371.101	111	1.853	857316072560815123	857316072556620818	2806	
