spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
6	SPECTRUM	true	2		2	-1 eV	0.7022535	6	2	-1 eV (corrected -1 eV)	[M + H]+	163.039	Q-ToF (LCMS)	C1=CC(=CC2=C1C=CC(=O)O2)O	splash10-0aor-2900000000-ed5b562981b029533b53	Hydrangin	public_spectra_2506:(CCMSLIB00010007800)	ORHBXUUXSCNDEV	222.961	47	0.782	857316057075444183	857316057071249878	179	
1	SPECTRUM	true	1		2	-1 eV	0.38716373	6	2	-1 eV (corrected -1 eV)	[M + H]+	171.029	Orbitrap (LCMS)	C1=C(C=C(C(=C1O)O)O)C(=O)O	splash10-0a59-9300000000-52c837653f48e1b095d2	gallate	public_spectra_2506:(CCMSLIB00011428735)	LNTHITQWFMADLM	143.040	47	0.782	857316057285159387	857316057280965082	303	
1	SPECTRUM	true	0		2	-1 eV	0.62439054	6	2	-1 eV (corrected -1 eV)	[M + H]+	302.017	Orbitrap (LCMS)	COC1=C(C=C(C=C1Cl)Cl)CNCC2=CC=CS2	splash10-0002-9000000000-740a1423bb8bc64172ff	(3,5-Dichloro-2-methoxy-benzyl)-thiophen-2-ylmethyl-amine	public_spectra_2506:(BRUNGS_MCESCAF_04140)	AIYYCTIRIUFLLA	131.011	47	0.784	857316057561983455	857316057553594846	193	
1	SPECTRUM	true	-1		2		0.5853719	6	2	-1 eV (corrected -1 eV)	[M + H]+	302.017	Orbitrap (LCMS)	COC1=C(C=C(C=C1Cl)Cl)CNCC2=CC=CS2	splash10-0002-9000000000-e5838f94248203b622e3	(3,5-Dichloro-2-methoxy-benzyl)-thiophen-2-ylmethyl-amine	public_spectra_2506:(BRUNGS_MCESCAF_04140)	AIYYCTIRIUFLLA	159.006	47	0.786	857316058090465767	857316058077882854	132	
1	SPECTRUM	true	4		2	-1 eV	0.76741904	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	147.044	Orbitrap (LCMS)	C1=CC(=CC=C1C=CC(=O)O)O	splash10-0006-9100000000-7ca471999181a84d46be	coumarate	public_spectra_2506:(CCMSLIB00011428819)	NGSWKAQJJWESNS	152.997	47	0.787	857316058463758831	857316058459564526	204	
1	SPECTRUM	true	10		2	-1 eV	0.55421	6	2	-1 eV (corrected -1 eV)	[M + H]+	273.040	Orbitrap (LCMS)	C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3	splash10-0005-8900000000-4b16b00bb90a7ab2d835	Maybridge3_001395	public_spectra_2506:(BRUNGS_MCEBIO_00204)	KPFZCKDPBMGECB	176.013	47	0.790	857316058719611383	857316058711222774	166	
1	SPECTRUM	true	4		2	-1 eV	0.6894268	7	2	-1 eV (corrected -1 eV)	[M + H]+	269.044	Orbitrap (LCMS)	C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O	splash10-02ta-0490000000-10528e021a0c93576060	Cumestrol	public_spectra_2506:(CCMSLIB00006701936)	ZZIALNLLNHEQPJ	250.956	47	0.790	857316058862217723	857316058853829114	161	
1	SPECTRUM	true	15		2	-1 eV	0.5611085	6	2	-1 eV (corrected -1 eV)	[M + H]+	273.040	Orbitrap (LCMS)	C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3	splash10-0005-8900000000-4b16b00bb90a7ab2d835	Maybridge3_001395	public_spectra_2506:(BRUNGS_MCEBIO_00204)	KPFZCKDPBMGECB	158.003	47	0.791	857316059168401923	857316059164207618	189	
4	SPECTRUM	true	-1		2		0.7625749	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	133.065	N/A	CC1=C(C=C(C=C1)C(=O)O)C	splash10-053r-0900000000-b535b46418362aae3e80	3,4-dimethylbenzoate	public_spectra_2506:(CCMSLIB00003136419)	OPVAJFQBSDUNQA	106.992	48	0.793	857316059449420299	857316059445225994	185	
3	SPECTRUM	true	11		2	-1 eV	0.48638195	6	2	75 eV	[M + H]+	177.055	Orbitrap (LCMS)	CC1=CC(=O)OC2=C1C=CC(=C2)O	splash10-0ki6-8900000000-8330065e13efed8e737e	Bilcolic	public_spectra_2506:(MSBNK-LCSB-LU020705)	HSHNITRMYYLLCV	134.987	48	0.794	857316059709467155	857316059701078546	256	
1	SPECTRUM	true	3		2	-1 eV	0.5086528	6	2	-1 eV (corrected -1 eV)	[M + H]+	302.107	Orbitrap (LCMS)	C1=CC=C(C=C1)CN2C=NC(=N)C3=C2N=C(N3)SCCO	splash10-0f6x-9002000000-1fd6cfc134c70c4c43f1	2-[(6-amino-3-benzyl-3H-purin-8-yl)sulfanyl]ethanol	public_spectra_2506:(BRUNGS_MCESCAF_01274)	QWUVRDAFCSTMCD	118.984	48	0.796	857316059826907671	857316059822713366	184	
1	SPECTRUM	true	0		2	-1 eV	0.6823237	8	2	-1 eV (corrected -1 eV)	[M + Na]+	276.095	Orbitrap (LCMS)	COC1=C(C=C(C=C1)C(=O)NCC(=O)NN)OC	splash10-004i-0090000000-023179e6d1e07218e54d	Oprea1_237562	public_spectra_2506:(CCMSLIB00010123522)	LKQWCGBEIQYYQR	287.889	48	0.797	857316059969514011	857316059965319706	126	
1	SPECTRUM	true	-1		2		0.44472724	6	2	-1 eV (corrected -1 eV)	[M + Na]+	196.022	Orbitrap (LCMS)	C(C(=O)O)NC(=O)C=CC(=O)O	splash10-0002-9700000000-d5e1f7a3b382fadecfcb	N-Glycinylmaleamic acid	public_spectra_2506:(CCMSLIB00006708434)	JKCBZBFTTXFZGH	113.964	48	0.799	857316060388944423	857316060384750118	289	
1	SPECTRUM	true	1		2	-1 eV	0.48860562	6	2	65 eV	[M + H]+	181.072	Orbitrap (LCMS)	CN1C2=C(C(=O)N(C1=O)C)NC=N2	splash10-0gb9-9000000000-fe69541c14c87da8c124	Aerolate	public_spectra_2506:(MSBNK-Eawag-EQ363209)	ZFXYFBGIUFBOJW	186.981	48	0.799	857316060527356459	857316060523162154	242	
1	SPECTRUM	true	4		2	-1 eV	0.3874527	6	2	-1 eV (corrected -1 eV)	[M + H]+	171.029	Orbitrap (LCMS)	C1=C(C=C(C(=C1O)O)O)C(=O)O	splash10-0a59-9300000000-52c837653f48e1b095d2	gallate	public_spectra_2506:(CCMSLIB00011428735)	LNTHITQWFMADLM	130.008	48	0.801	857316060678351407	857316060665768494	196	
1	SPECTRUM	true	-1		2		0.4962623	6	2	-1 eV (corrected -1 eV)	[M + Na]+	173.043	Orbitrap (LCMS)	COC1=NC=NC2=C1NC=N2	splash10-006y-4900000000-71e69e9b0b0fc3de8b9e	Ambap1074-89-1	public_spectra_2506:(CCMSLIB00010116489)	GOILPRCCOREWQE	131.974	48	0.803	857316060896455219	857316060883872306	259	
