structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	10	0.489	0.489	-34.736		0.005	5.822	C2H8N2O5S2	[M + Na]+	C2H8N2NaO5S2+	KSKNCTJZVHKGBW	InChI=1S/C2H8N2O5S2/c1-10(5,6)3-9-4-11(2,7)8/h3-4H,1-2H3	N-(methanesulfonamidooxy)methanesulfonamide	CS(=O)(=O)NONS(=O)(=O)C	-1.300	87491880	PUBCHEM:(87491880)	2	226.975	43	0.723	857316937149976276	857316056718928335	857316056693762510	95	
1	1	0.045	0.045	-66.531		0.922	56.672	C3H8N2O3S2	[M + K]+	C3H8KN2O3S2+	LTHWZZOUNJCHES	InChI=1S/C3H8N2O3S2/c4-3(5)9-1-2-10(6,7)8/h1-2H2,(H3,4,5)(H,6,7,8)		C(CS(=O)(=O)O)SC(=N)N	-0.900	20545639;66557598;91884903;71752261;117698;130959;2783697	COCONUT:(CNP0455618);NORMAN:(NS00050513);SUPERNATURAL:(SN0214859);MESH:(117698 130959);PUBCHEM:(20545639 66557598 91884903 71752261 117698 130959 2783697);DSSTox:(DTXSID40148718 DTXSID90885323);GNPS:(CCMSLIB00000081564);PUBMED:(null)	137442365510	222.961	47	0.782	857316993336873134	857316057075444183	857316057071249878	179	
1	5	0.017	0.017	-51.742		0.013	12.202	C4H6F2N2	[M + Na]+	C4H6F2N2Na+	WCFXJMJACHYWPV	InChI=1S/C4H6F2N2/c1-3(7-5)4(2)8-6/h1-2H3	2-N,3-N-difluorobutane-2,3-diimine	CC(=NF)C(=NF)C	1.000	21765985;9601331;5466515;533411	PUBCHEM:(21765985 9601331 5466515 533411)	2	143.040	47	0.782	857316990233088143	857316057285159387	857316057280965082	303	
1	1	0.069	0.069	-90.483		0.986	23.802	C3H5FO3	[M + Na]+	C3H5FNaO3+	SVYXLQRWNWOHSJ	InChI=1S/C3H5FO3/c4-2(1-5)3(6)7/h2,5H,1H2,(H,6,7)	2-(18F)fluoranyl-3-hydroxypropanoate	C(C(C(=O)O)F)O	-0.500	10329261;153694960;152766889;151917009	BloodExposome:(10329261);PUBCHEM:(10329261 153694960 152766889 151917009);PUBMED:(null)	4194370	131.011	47	0.784	857316943244300045	857316057561983455	857316057553594846	193	
1	1	0.026	0.026	-189.292		1.000	58.617	C5H5F2NO2	[M + Na]+	C5H5F2NNaO2+	UZLFSAIEQNZPEC	InChI=1S/C5H5F2NO2/c1-2-10-4(9)5(6,7)3-8/h2H2,1H3	Ethyl 2-cyano-2,2-difluoroacetate	CCOC(=O)C(C#N)(F)F	0.947	18368931	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(18368931)	67108866	172.019	47	0.786	857316976941338666	857316057830418915	857316057822030306	158	
1	1	0.079	0.079	-41.149		1.000	19.901	H4N2O2S	[M + H]+	H5N2O2S+	NVBFHJWHLNUMCV	InChI=1S/H4N2O2S/c1-5(2,3)4/h(H4,1,2,3,4)	Sulfamide	NS(=O)(=O)N	-1.700	19785664;23466980;82267;148242237;44391604	PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00040642);HMDB:(HMDB0258578);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(82267);CHEBI:(29368);PUBCHEM:(19785664 23466980 82267 148242237 44391604);DSSTox:(DTXSID5064885);PUBMED:(null)	137527296106	97.008	47	0.787	857316931802238583	857316058325346795	857316058316958186	154	
1	3	0.029	0.029	-70.334		0.333	55.798	CH2N2O2S	[M + CH2O2 + H]+	C2H5N2O4S+	KYNYVNFTQRQRLO	InChI=1S/CH2N2O2S/c2-3-1(4)5-6/h2,6H	sulfanyl N-iminocarbamate	C(=O)(N=N)OS	1.700	117767492	PUBCHEM:(117767492)	2	152.997	47	0.787	857316956343111547	857316058463758831	857316058459564526	204	
1	2	0.202	0.256	-88.413		0.000	49.001	C7H4FNO2	[M + Na]+	C7H4FNNaO2+	LAMXJMFSONZHOP	InChI=1S/C7H4FNO2/c8-4-2-1-3-5-6(4)7(10)9-11-5/h1-3H,(H,9,10)	4-Fluorobenzo[d]isoxazol-3(2H)-one	C1=CC2=C(C(=C1)F)C(=O)NO2	1.200	11815956	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(11815956);DSSTox:(DTXSID70473429);PUBMED:(null)	137455730754	176.013	47	0.790	857316958113107855	857316058719611383	857316058711222774	166	
1	2	0.028	0.028	-81.566		0.058	38.676	C4H8N2O4S2	[M + K]+	C4H8KN2O4S2+	DTVOFOHHUSKUOV	InChI=1S/C4H8N2O4S2/c1-11(7,8)4-12(9,10)6-3-2-5/h6H,3-4H2,1H3	N-(cyanomethyl)-1-methylsulfonylmethanesulfonamide	CS(=O)(=O)CS(=O)(=O)NCC#N	-1.400	82843021	PUBCHEM:(82843021)	2	250.956	47	0.790	857316970792488961	857316058862217723	857316058853829114	161	
1	1	0.082	0.082	-142.584		1.000	51.787	C4H3F2NO2	[M + Na]+	C4H3F2NNaO2+	BFFSYVAOPYBXSM	InChI=1S/C4H3F2NO2/c5-4(6,1-2-7)3(8)9/h1H2,(H,8,9)	3-Cyano-2,2-difluoropropanoic acid	C(C#N)C(C(=O)O)(F)F	0.200	84716150	PUBCHEM:(84716150)	2	158.003	47	0.791	857316970188509164	857316059168401923	857316059164207618	189	
1	1	0.035	0.035	-91.129		0.333	18.735	C2H5N3OS	[M + H]+	C2H6N3OS+	KSKPFCYLLBRSBQ	InChI=1S/C2H5N3OS/c3-2(7)5-4-1-6/h1H,(H,4,6)(H3,3,5,7)	1-Formyl-3-thiosemicarbazide	C(=O)NNC(=S)N	-0.900	2775486	NORMAN:(NS00027326);PUBCHEM:(2775486);DSSTox:(DTXSID1020641);PUBMED:(null)	137439215682	120.024	48	0.792	857316936755711662	857316059311008263	857316059306813958	174	
1	2	0.038	0.038	-103.024		0.250	21.949	CH4N2O3S	[M - H2O + H]+	CH3N2O2S+	VYYXFWWMQOQXIH	InChI=1S/CH4N2O3S/c2-1(4)3-7(5)6/h(H,5,6)(H3,2,3,4)	Sufonylurea	C(=O)(N)NS(=O)O	-0.400	21618712;21618713	BloodExposome:(21618712);PUBCHEM:(21618712 21618713);PUBMED:(null)	4194370	106.992	48	0.793	857316938500542166	857316059449420299	857316059445225994	185	
1	3	0.027	0.027	-81.203		0.097	23.820	CH4N2O3S	[M + H]+	CH5N2O3S+	VYYXFWWMQOQXIH	InChI=1S/CH4N2O3S/c2-1(4)3-7(5)6/h(H,5,6)(H3,2,3,4)	Sufonylurea	C(=O)(N)NS(=O)O	-0.400	21618712;21618713	BloodExposome:(21618712);PUBCHEM:(21618712 21618713);PUBMED:(null)	4194370	125.003	48	0.794	857316976500936727	857316059583638031	857316059579443726	254	
1	1	0.078	0.078	-37.022		0.939	23.677	C2H2F2O3	[M + Na]+	C2H2F2NaO3+	DBELYRGXKAWNDK	InChI=1S/C2H2F2O3/c3-2(4)1-6-7-5/h1,5H	1,1-Difluoro-2-(trioxidanyl)ethene	C(=C(F)F)OOO	0.400	57896563	PUBCHEM:(57896563)	2	134.987	48	0.794	857316946947870507	857316059709467155	857316059701078546	256	
