compound_name,smiles
Benzo[g]perylene (BgP),C1C=CC=C2C13C4=CC=CC5=C4C(=CC=C5)C6=CC=CC(=C36)C=C2
Phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
Fluoranthene,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4
Pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2
Benz[a]anthracene,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32
Chrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43
Benzo[b]fluoranthene,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1
Benzo[k]fluoranthene,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1
Benzo[a]pyrene,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
"Indeno[1,2,3-cd]pyrene",C1=CC=C2C(=C1)C3=C4C2=CC5=CC=CC6=C5C4=C(C=C6)C=C3
"1,2-naphthoquinone",C1=CC=C2C(=C1)C=CC(=O)C2=O
"1,4-naphthaquinone",C1=CC=C2C(=O)C=CC(=O)C2=C1
acenaphthenequinone,C1=CC2=C3C(=C1)C(=O)C(=O)C3=CC=C2
phenanthrenequinone,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O
"5,12-naphthacenequinone",C1=CC=C2C=C3C(=CC2=C1)C(=O)C4=CC=CC=C4C3=O
"9,10-anthraquinone",C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O
methyl anthraquinone,CC1=CC2=C(C=C1O)C(=O)C3=C(C2=O)C(=CC=C3)O
dimethyl anthraquinone,CC1=CC(=C(C2=C1C(=O)C3=CC=CC=C3C2=O)C)CC(C)OC(=O)C
chrysenequinone,C1=CC=C2C(=C1)C=CC3=C2C(=O)C(=O)C4=CC=CC=C34
"benzo[a]pyrene-6,12-quinone",C1=CC=C2C(=C1)C3=CC(=O)C4=CC=CC5=C4C3=C(C2=O)C=C5
"benzo[a]pyrene-3,6-quinone",C1=CC=C2C(=C1)C3=C4C(=CC=C5C4=C(C=C3)C=CC5=O)C2=O
"benzo[a]pyrene-1,6-quinone",C1=CC=C2C(=C1)C3=CC=C4C(=O)C=CC5=C4C3=C(C2=O)C=C5
