id,sirius_id,molecular_formula,precursor_mz,rt,score
147,857336422677629428,C2H2F2O3,134.987,0.761,0.942
169,857336422841207288,H4N2O2S,97.008,0.761,1.0
381,857336423361300996,C2H4Cl2O2,130.966,0.768,0.973
208,857336423730399756,C4H3F2NO2,158.003,0.772,1.0
205,857336423906560528,C3H3F2NO,130.008,0.773,1.0
429,857336425517173304,C3H2Cl2,125.986,0.829,1.0
583,857336426855156312,C6H12N2,113.107,0.864,1.0
621,857336426964208220,C6H12O2Si,183.024,0.88,1.0
631,857336427098425952,C4H8N2O4S,181.026,0.88,0.992
733,857336427584965228,CH6N2O4S2,174.985,0.905,1.0
699,857336427694017136,C2H4N2O4S2,184.969,0.909,1.0
741,857336427895343736,C5H13NO,104.107,0.916,1.0
999,857336428239276676,C4H4O8S,234.952,0.931,0.821
864,857336428637735572,C6H9O2,114.066,0.945,1.0
898,857336428839062172,C6H15N,102.128,0.95,1.0
1124,857336428931336864,C11H23NO2,202.18,0.951,1.0
1229,857336429543705272,C12H27N,186.222,0.963,1.0
1033,857336429740837568,C9H19NO,158.154,0.965,1.0
1313,857336429925386952,C10H14F2O2,187.094,0.97,0.999
1420,857336430227376852,C5H6NO3,129.041,0.987,0.999
1246,857336430353205976,C5H7Br,146.981,0.988,0.813
1670,857336430651001572,C9H20O5,209.138,1.02,1.0
2348,857336431930264336,C9H19NO,158.154,1.6,1.0
2407,857336432018344724,C6H15NO,118.123,1.713,1.0
2883,857336432207088412,C6H13N,100.112,2.817,1.0
3190,857336432567798572,C8H8N2,133.076,3.978,0.998
3265,857336432647490352,C12H17NO,192.138,4.097,1.0
3272,857336432727182132,C10H22O6,239.149,4.138,1.0
3304,857336432815262520,C9H14N4O,195.123,4.158,1.0
3334,857336433041754944,C12H23NO,198.185,4.24,1.0
3413,857336433385687884,C13H25N5O4,316.197,4.313,0.976
3450,857336433721232216,C12H23NO,198.185,4.415,1.0
3474,857336434086136676,C9H20O5,226.165,4.433,0.96
3481,857336434211965800,C9H20O5,209.138,4.438,1.0
3483,857336434329406316,C6H12O3,133.086,4.444,1.0
3534,857336434430069616,C12H26O7,283.175,4.507,0.975
3603,857336434660756344,C15H29N5O5,360.223,4.573,0.807
3619,857336434769808252,C8H18O4,179.128,4.639,0.999
3627,857336434883054464,C11H21N5,224.186,4.643,0.996
3672,857336435310873484,C10H16O4,183.102,4.668,1.0
3696,857336435528977300,C12H26O7,283.175,4.692,0.943
3735,857336435747081116,C15H27N5O4,342.212,4.75,0.995
3746,857336435868715936,C17H33N5O4,372.259,4.843,0.996
3812,857336435981962148,C14H30O8,327.201,4.853,0.939
3831,857336436086819752,C11H24O6,253.165,4.872,0.951
3944,857336436313312176,C12H23NO,198.185,5.022,1.0
4014,857336436955040712,C9H20O4,193.144,5.099,1.0
4138,857336437340916692,C16H34O9,371.228,5.163,0.935
4173,857336437697432544,C12H20O4,211.133,5.206,1.0
4178,857336437814873060,C9H12O2,153.091,5.209,1.0
4177,857336437907147752,C12H20O4,229.144,5.214,1.0
4171,857336438133640176,C6H6O,95.049,5.215,0.99
4167,857336438230109172,C10H16O2,169.122,5.218,1.0
4337,857336438553070592,C10H22O5,223.154,5.356,0.999
4419,857336438867643404,C12H16O3,209.117,5.42,1.0
4490,857336439178021912,C11H24O5,237.17,5.56,0.94
4641,857336439379348512,C23H45N5O7,504.338,5.688,0.977
4645,857336439559703592,C20H42O11,459.28,5.691,0.915
4721,857336439731670064,C14H27NO4,274.201,5.744,0.98
4802,857336439907830840,C11H10N2O2,203.082,5.766,0.982
4892,857336440100768832,C22H46O12,503.306,5.911,0.844
4976,857336440331455560,C5H11NSi,114.073,5.914,1.0
5081,857336440541170768,C10H13NO3,196.097,5.963,0.999
5176,857336440931241056,C10H22O4,207.159,6.114,1.0
5234,857336441036098660,C13H25N,196.206,6.131,1.0
5492,857336441774296188,C26H54O14,591.359,6.304,0.902
5641,857336441912708228,C16H24O4,281.175,6.381,1.0
5775,857336441975622792,C10H22O4,207.159,6.46,1.0
5795,857336442319555740,C7H7N3,134.071,6.502,0.913
5995,857336442449579172,C20H36N2O5,385.267,6.62,0.863
6264,857336442915146944,C12H26O5,251.185,6.767,0.998
6243,857336443036781768,C24H38O5,407.28,6.775,0.856
6302,857336443254885588,C16H22N2O2,275.176,6.835,0.986
6450,857336443598818536,C8H15NO,142.123,6.932,1.0
6461,857336443665927404,C17H33NO5,332.243,6.939,1.0
6555,857336443976305916,C12H26O5,251.185,6.979,0.997
6549,857336444051803392,C15H22O4,267.159,7.008,1.0
6590,857336444383153424,C12H27N,186.222,7.037,1.0
6845,857336445578530120,C10H22O4,207.159,7.206,1.0
6850,857336445641444684,C10H22O4,224.186,7.206,0.997
7066,857336445901491548,C12H17NO2,208.133,7.337,0.961
7088,857336446056680804,C12H27NO,202.217,7.357,1.0
7191,857336446320921972,C12H16O3,209.117,7.423,1.0
7192,857336446392225144,C12H27NO3,234.206,7.429,1.0
7229,857336446534831488,C7H5NOS,152.017,7.45,0.99
7376,857336446824238480,C12H27N,186.222,7.563,1.0
7455,857336447113645472,C12H26O5,268.212,7.601,0.953
7477,857336447424023988,C12H20O7,277.128,7.669,1.0
7631,857336447558241724,C13H28O5,265.201,7.726,0.967
7700,857336447616961984,C2H4O2,98.984,7.784,1.0
7798,857336447780539848,C12H18O4,227.128,7.827,1.0
7927,857336447939923412,C12H20O7,277.128,7.855,1.0
7976,857336448028003804,C13H25N5O3,322.186,7.912,0.958
7965,857336448074141152,C9H14O5,203.091,7.93,0.987
8065,857336448158027240,C14H24O3,241.18,8.006,1.0
8079,857336448208358892,C11H21NO2,200.165,8.031,1.0
