formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	CH6N2O5S	[M + H]+	CH7N2O5S+	Fatty acids	0.424	Small peptides	0.221	Aminoacids	0.329	Organic acids and derivatives	0.994	Organic sulfonic acids and derivatives	0.644	Organosulfonic acids and derivatives	0.633	Alkanesulfonic acids and derivatives	0.650	Alkanesulfonic acids	0.616	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	159.006	45	0.751	857337204435823791	857336421524195804	857336421490641371	119	
1	C2H4N2O4S	[M + H]+	C2H5N2O4S+	Alkaloids	0.314	Histidine alkaloids	0.308	Imidazole alkaloids	0.310	Organic acids and derivatives	0.935	Carboxylic acids and derivatives	0.888	Carboxylic acids	0.706			Carboxylic acids	0.706	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	152.998	45	0.754	857337220067994972	857336421788436960	857336421775854047	200	
1	C4H5N3O3S	[M + H]+	C4H6N3O3S+	Alkaloids	0.443	Histidine alkaloids	0.420	Imidazole alkaloids	0.425	Organic acids and derivatives	0.790	Carboxylic acids and derivatives	0.673	Carboxylic acids	0.566			Carboxylic acids	0.566	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	176.013	45	0.756	857337202389003421	857336422186895848	857336422182701543	230	
1	CH2N2O2S	[M + H]+	CH3N2O2S+	Amino acids and Peptides	0.432	Histidine alkaloids	0.564	Imidazole alkaloids	0.564	Organoheterocyclic compounds	0.939	Azoles	0.591					Azoles	0.591	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	106.992	45	0.757	857337201592085631	857336422358862316	857336422354668011	139	
1	C3H7BFO3	[M + Na]+	C3H7BFNaO3+	Fatty acids	0.390	Fatty Acids and Conjugates	0.505	Halogenated fatty acids	0.919	Organic acids and derivatives	0.832	Boronic acid derivatives	0.658	Boronic acids	0.563			Boronic acids	0.563	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Boronic acids; Organometallic compounds; Boronic acid derivatives; Organometalloid compounds; Organoboron compounds; Organic salts; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	143.040	46	0.759	857337208936312031	857336422522440176	857336422518245871	206	
1	C2H2F2O3	[M + Na]+	C2H2F2NaO3+	Fatty acids	0.931	Fatty Acids and Conjugates	0.965	Halogenated fatty acids	0.988	Organic acids and derivatives	0.908	Carboxylic acids and derivatives	0.870	Alpha-halocarboxylic acids and derivatives	0.547	Alpha-halocarboxylic acids	0.593	Alpha-halocarboxylic acids	0.593	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Alpha-halocarboxylic acids and derivatives; Carbonyl compounds; Alkyl halides; Alpha-halocarboxylic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	134.987	46	0.761	857337196919630950	857336422677629428	857336422673435123	147	
1	H4N2O2S	[M + H]+	H5N2O2S+	Alkaloids	0.319	Small peptides	0.052	Aminoacids	0.045	Organic nitrogen compounds	0.994	Organonitrogen compounds	0.755					Organonitrogen compounds	0.755	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	97.008	46	0.761	857337190670117951	857336422841207288	857336422837012983	169	
1	C2H5N3OS	[M + H]+	C2H6N3OS+	Alkaloids	0.444	Histidine alkaloids	0.489	Imidazole alkaloids	0.485	Organoheterocyclic compounds	0.986	Azoles	0.912	Thiadiazoles	0.747			Thiadiazoles	0.747	Organic compounds; Organoheterocyclic compounds; Thiadiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Acetamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	120.024	46	0.768	857337219908611401	857336423164168704	857336423159974399	204	
1	C2H4Cl2O2	[M + H]+	C2H5Cl2O2+	Fatty acids	0.979	Fatty Acids and Conjugates	0.946	Halogenated fatty acids	0.976	Organic acids and derivatives	0.746	Carboxylic acids and derivatives	0.687	Carboxylic acids	0.676			Carboxylic acids	0.676	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	130.966	46	0.768	857337205853498575	857336423361300996	857336423357106691	381	
1	C4H3F2NO2	[M + Na]+	C4H3F2NNaO2+	Amino acids and Peptides	0.701	Small peptides	0.639	Aminoacids	0.750	Organohalogen compounds	0.999	Aryl halides	0.549	Aryl fluorides	0.804			Aryl fluorides	0.804	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Aryl halides; Vinyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.003	46	0.772	857337204641344698	857336423730399756	857336423722011147	208	
