formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
10	C2H8N2O5S2	[M + Na]+	C2H8N2NaO5S2+	Fatty acids	0.415	Pseudoalkaloids (transamidation)	0.035	Polyamines	0.065	Organic acids and derivatives	0.997	Organic sulfonic acids and derivatives	0.978	Organosulfonic acids and derivatives	0.978	Organosulfonamides	0.863	Organosulfonamides	0.863	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Organosulfonamides; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic sulfonamides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	226.975	43	0.723	857316937149976276	857316056718928335	857316056693762510	95	
1	C3H8N2O3S2	[M + K]+	C3H8KN2O3S2+	Amino acids and Peptides	0.968	Small peptides	0.863	Aminoacids	0.855	Organic acids and derivatives	0.917	Carboxylic acids and derivatives	0.646	Carboxylic acids	0.513			Carboxylic acids	0.513	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	222.961	47	0.782	857316993336873134	857316057075444183	857316057071249878	179	
5	C4H6F2N2	[M + Na]+	C4H6F2N2Na+	Fatty acids	0.539	Fatty acyls	0.298	Halogenated fatty acids	0.372	Organohalogen compounds	0.956	Aryl halides	0.283	Aryl fluorides	0.502			Aryl fluorides	0.502	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Aryl fluorides; Organofluorides; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities	143.040	47	0.782	857316990233088143	857316057285159387	857316057280965082	303	
1	C3H5FO3	[M + Na]+	C3H5FNaO3+	Fatty acids	0.988	Fatty Acids and Conjugates	0.991	Halogenated fatty acids	0.997	Lipids and lipid-like molecules	0.541	Fatty Acyls	0.532	Fatty acids and conjugates	0.562	Halogenated fatty acids	0.652	Halogenated fatty acids	0.652	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Halogenated fatty acids; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Alpha-halocarboxylic acids and derivatives; Carbonyl compounds; Alkyl halides; Alpha-halocarboxylic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	131.011	47	0.784	857316943244300045	857316057561983455	857316057553594846	193	
1	C5H5F2NO2	[M + Na]+	C5H5F2NNaO2+	Amino acids and Peptides	0.641	Small peptides	0.643	Halogenated fatty acids	0.664	Benzenoids	0.233	Benzene and substituted derivatives	0.415	Halobenzenes	0.690	Fluorobenzenes	0.689	Fluorobenzenes	0.689	Organic compounds; Halobenzenes; Organohalogen compounds; Organonitrogen compounds; Aryl fluorides; Fluorobenzenes; Organofluorides; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	172.019	47	0.786	857316976941338666	857316057830418915	857316057822030306	158	
1	H4N2O2S	[M + H]+	H5N2O2S+	Alkaloids	0.328	Small peptides	0.053	Polyamines	0.047	Organic nitrogen compounds	0.993	Organonitrogen compounds	0.756					Organonitrogen compounds	0.756	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	97.008	47	0.787	857316931802238583	857316058325346795	857316058316958186	154	
3	CH2N2O2S	[M + CH2O2 + H]+	C2H5N2O4S+	Alkaloids	0.263	Histidine alkaloids	0.405	Imidazole alkaloids	0.403	Organic acids and derivatives	0.609	Carboxylic acids and derivatives	0.559					Carboxylic acids and derivatives	0.559	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	152.997	47	0.787	857316956343111547	857316058463758831	857316058459564526	204	
2	C7H4FNO2	[M + Na]+	C7H4FNNaO2+	Alkaloids	0.647	Anthranilic acid alkaloids	0.142	Simple coumarins	0.033	Organoheterocyclic compounds	0.876	Benzisoxazoles	0.605	Benzisoxazolones	0.531			Benzisoxazolones	0.531	Organic compounds; Organoheterocyclic compounds; Isoxazoles; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl fluorides; Organofluorides; Benzisoxazoles; Benzisoxazolones; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	176.013	47	0.790	857316958113107855	857316058719611383	857316058711222774	166	
2	C4H8N2O4S2	[M + K]+	C4H8KN2O4S2+	Amino acids and Peptides	0.996	Small peptides	0.928	Aminoacids	0.921	Organic acids and derivatives	0.984	Carboxylic acids and derivatives	0.925	Amino acids, peptides, and analogues	0.855	Amino acids and derivatives	0.852	Alpha amino acids and derivatives	0.850	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	250.956	47	0.790	857316970792488961	857316058862217723	857316058853829114	161	
1	C4H3F2NO2	[M + Na]+	C4H3F2NNaO2+	Amino acids and Peptides	0.822	Small peptides	0.748	Aminoacids	0.848	Organohalogen compounds	0.999	Aryl halides	0.287	Aryl fluorides	0.586			Aryl fluorides	0.586	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Carbonyl compounds; Vinyl halides; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.003	47	0.791	857316970188509164	857316059168401923	857316059164207618	189	
