structurePerIdRank	formulaRank	CSI:FingerIDScore	ModelScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	-35.496	-6.551		1.000	40.898	CH6N2O5S	[M + H]+	CH7N2O5S+	QOPCTVYLLKIEJD	InChI=1S/CH6N2O5S/c2-6-1-9(4,5)8-7-3/h1-3H2		NOCS(=O)(=O)OON	159.006	45	0.751	857337204435823791	857336421524195804	857336421490641371	119	
1	2	-60.013	-6.527		0.333	45.118	C2H6N2O5S	[M - H2O + H]+	C2H5N2O4S+	WFJYEFRUQKXCSE	InChI=1S/C2H6N2O5S/c3-4-10(7,8,9)1-2(5)6/h3H,1H2,(H,5,6)(H2,7,8,9)		N=NS(=O)(O)(O)CC(=O)O	152.998	45	0.754	857337220067994973	857336421788436960	857336421775854047	200	
1	3	-70.130	-5.360		0.282	50.366	C3H3N3OS	[M + CH2O2 + H]+	C4H6N3O3S+	UMWDBGDPZWRPNO	InChI=1S/C3H3N3OS/c7-3(8)2-4-1-5-6-2/h1H,(H,7,8)(H,4,5,6)	1H-1,2,4-triazol-1-ium-3-carbothioate	C1=NNC(=N1)C(=O)S	176.013	45	0.756	857337202389003423	857336422186895848	857336422182701543	230	
1	1	-80.220	-8.101		0.333	20.863	CH2N2O2S	[M + H]+	CH3N2O2S+	FYFXQFXLEJFUBX	InChI=1S/CH2N2O2S/c2-3-5-1(4)6/h2H,(H,4,6)		N=NOC(=O)S	106.992	45	0.757	857337201592085631	857336422358862316	857336422354668011	139	
1	5	-49.513	-7.278		0.008	11.078	C4H6F2N2	[M + Na]+	C4H6F2N2Na+	ZSGOMENBYNTVDP	InChI=1S/C4H6F2N2/c1-3(5)8-2-4(6)7/h7H,2H2,1H3		CC(F)=NCC(=N)F	143.040	46	0.759	857337208936312035	857336422522440176	857336422518245871	206	
1	1	-36.196	-7.376		0.942	22.884	C2H2F2O3	[M + Na]+	C2H2F2NaO3+	DBELYRGXKAWNDK	InChI=1S/C2H2F2O3/c3-2(4)1-6-7-5/h1,5H	1,1-Difluoro-2-(trioxidanyl)ethene	C(=C(F)F)OOO	134.987	46	0.761	857337196919630950	857336422677629428	857336422673435123	147	
1	1	-25.387	-5.530		1.000	19.192	H4N2O2S	[M + H]+	H5N2O2S+	UBDJPQDQVIRTSX	InChI=1S/H4N2O2S/c1-5-4-2-3/h2-3H,1H2		NSONO	97.008	46	0.761	857337190670117951	857336422841207288	857336422837012983	169	
1	2	-47.567	-4.725		0.333	19.418	C2H7N3O2S	[M - H2O + H]+	C2H6N3OS+	GUVJJUDIJBVKOZ	InChI=1S/C2H7N3O2S/c1-2(6)4-5-8(3)7/h8H,1H3,(H,4,6)(H2,3,5,7)		CC(=O)NN[SH](=N)=O	120.024	46	0.768	857337219908611402	857336423164168704	857336423159974399	204	
1	2	-35.129	-5.858		0.027	30.531	C2H5O2P	[M + K]+	C2H5KO2P+	IBNKQSROKQLMTD	InChI=1S/C2H5O2P/c1-5(4)2-3/h4-5H,1H3		C[PH](O)=C=O	130.966	46	0.768	857337205853498576	857336423361300996	857336423357106691	381	
1	1	-75.990	-5.720		1.000	48.028	C4H3F2NO2	[M + Na]+	C4H3F2NNaO2+	JSYKJMXPMNXQKP	InChI=1S/C4H3F2NO2/c5-1-3(6)7-2-4(8)9/h1-2H,(H,8,9)		O=C(O)C=NC(F)=CF	158.003	46	0.772	857337204641344698	857336423730399756	857336423722011147	208	
1	1	-67.040	-5.104		1.000	33.237	C3H3F2NO	[M + Na]+	C3H3F2NNaO+	ZKLLPXIUORMSIW	InChI=1S/C3H3F2NO/c4-1-3(5)7-2-6/h1-2,6H		N=COC(F)=CF	130.008	46	0.773	857337208986643698	857336423906560528	857336423902366223	205	
1	4	-40.489	-7.306		0.002	48.212	C4H6FO4PS	[M + Na]+	C4H6FNaO4PS+	ZKQZELZQHGFLHL	InChI=1S/C4H6FO4PS/c1-4(5)11-3-2-9-10(6,7)8/h2-3,10H,1H2,(H,6,7,8)		C=C(F)SC=CO[PH](=O)(=O)O	222.961	48	0.799	857337226242010532	857336424195967512	857336424191773207	232	
1	2	-59.474	-6.471		0.402	56.104	C3H5FNO6PS	[M + Na]+	C3H5FNNaO6PS+	SSWCKHSFLVTDFW	InChI=1S/C3H5FNO6PS/c4-3(6)11-12(7,8)13(9,10)2-1-5/h1,5H,2H2,(H,7,8)		N=CCS(=O)(=O)P(=O)(O)OC(=O)F	255.944	50	0.826	857337215672364337	857336425139685936	857336425127103023	398	
1	1	-14.885	-4.010		1.000	15.468	C3H2Cl2	[M + H3N + H]+	C3H6Cl2N+	KNMQFZVRVIGMPA	InChI=1S/C3H2Cl2/c4-2-1-3-5/h2-3H	1,3-Dichloroallene	C(=C=CCl)Cl	125.986	50	0.829	857337218004397382	857336425517173304	857336425512978999	429	
1	5	-59.500	-6.846		0.133	15.374	C5H12Cl2N2O2	[M - H4O2 + H]+	C5H9Cl2N2+	YWZQZTAGIXIGRF	InChI=1S/C5H12Cl2N2O2/c6-1-2-8-5(11)4(7)9-3-10/h4-5,8-11H,1-3H2		OCNC(Cl)C(O)NCCCl	167.013	50	0.834	857337242809511472	857336426452503116	857336426448308811	428	
1	1	-30.172	-4.818		1.000	54.366	C6H12N2	[M + H]+	C6H13N2+	DCRYNQTXGUTACA	InChI=1S/C6H12N2/c1-2-8-5-3-7-4-6-8/h2,7H,1,3-6H2	1-Ethenylpiperazin-1-ium	C=CN1CCNCC1	113.107	52	0.864	857337201944407196	857336426855156312	857336426850962007	583	
1	1	-89.373	-6.072		0.992	22.523	C4H8N2O4S	[M + H]+	C4H9N2O4S+	MSFUNTZPDLIZBE	InChI=1S/C4H8N2O4S/c1-5-10-6-3-2-4-11(7,8)9/h3H,1-2,4H2,(H,7,8,9)		C=NON=CCCS(=O)(=O)O	181.026	53	0.880	857337198073064565	857336427098425952	857336427098425951	631	
1	1	-30.861	-6.751		0.903	12.085	CH4N2O5P2	[M + H]+	CH5N2O5P2+	QCVGPNKXPMDZET	InChI=1S/CH4N2O5P2/c2-3-1-9(4,5)10(6,7)8/h1H,(H,4,5)(H2,6,7,8)		[N-]=[N+]=CP(=O)(O)P(=O)(O)O	186.966	54	0.900	857337228934753758	857336427480107624	857336427475913319	697	
1	1	-32.365	-1.155		1.000	35.802	CH6N2O4S2	[M + H]+	CH7N2O4S2+	IZPRJGQNZYJMMN	InChI=1S/CH6N2O4S2/c1-9(6,7)3-2-8(4)5/h3,8H,1H3,(H,2,4,5)		CS(=O)(=O)NN[SH](=O)=O	174.985	54	0.905	857337240422952472	857336427584965228	857336427584965227	733	
1	1	-65.564	-7.227		1.000	63.645	C2H4N2O4S2	[M + H]+	C2H5N2O4S2+	KPQRNHYBIBDFTR	InChI=1S/C2H4N2O4S2/c3-1(2(5)8-4)10(7)9-6/h3,6H,4H2		N=C(C(=O)ON)S(=O)SO	184.969	55	0.909	857337227324140999	857336427694017136	857336427689822831	699	
1	1	-51.584	-6.137		0.995	56.464	C4H5F2NO3S	[M + Na]+	C4H5F2NNaO3S+	MEHNINTWHRNQEH	InChI=1S/C4H5F2NO3S/c1-2-11(9,10)4(6)3(5)7-8/h2,7-8H,1H2		C=CS(=O)(=O)C(F)=C(F)NO	207.985	55	0.913	857337225977769360	857336427798874740	857336427794680435	701	
1	1	-78.377	-2.280		1.000	22.421	C5H13NO	[M + H]+	C5H14NO+	HMVFITKXZCNKSS	InChI=1S/C5H13NO/c1-6(2)4-5-7-3/h4-5H2,1-3H3		CN(C)CCOC	104.107	55	0.916	857337188946258996	857336427895343736	857336427895343735	741	
