spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	true	0		2	-1 eV	0.5638942	7	2	-1 eV (corrected -1 eV)	[M + H]+	131.070	Orbitrap (LCMS)	CC1(CCOC(=O)C1)O	splash10-00xr-9400000000-6b6e730cd317b69f6be0	Prestwick_97	public_spectra_2506:(CCMSLIB00006708633)	JYVXNLLUYHCIIH	159.006	45	0.751	857336421524195804	857336421490641371	119	
1	SPECTRUM	true	-1		2		0.7159315	6	2	29 eV	[M + H]+	163.039	Orbitrap (LCMS)	C1=CC(=CC2=C1C=CC(=O)O2)O	splash10-0a4i-3900000000-a68f16c74a90b40deff8	Hydrangin	public_spectra_2506:(MSBNK-NaToxAq-NA003625)	ORHBXUUXSCNDEV	152.998	45	0.754	857336421788436960	857336421775854047	200	
7	SPECTRUM	true	-1		2		0.5562237	6	2	-1 eV (corrected -1 eV)	[M + H]+	124.039	Orbitrap (LCMS)	C1=CC=NC(=C1)C(=O)O	splash10-006t-9400000000-c630d4efa032b2aadc33	Nicogamol	public_spectra_2506:(CCMSLIB00006120668)	SIOXPEMLGUPBBT	106.992	45	0.757	857336422358862316	857336422354668011	139	
3	SPECTRUM	true	0		2	-1 eV	0.3468081	6	2	-1 eV (corrected -1 eV)	[M + H]+	171.029	Orbitrap (LCMS)	C1=C(C=C(C(=C1O)O)O)C(=O)O	splash10-0a59-9300000000-52c837653f48e1b095d2	gallate	public_spectra_2506:(CCMSLIB00011428735)	LNTHITQWFMADLM	143.040	46	0.759	857336422522440176	857336422518245871	206	
2	SPECTRUM	true	-1		2		0.36301202	6	2	-1 eV (corrected -1 eV)	[M + H]+	179.034	FTICR (LCMS)	C1=CC(=O)OC2=CC(=C(C=C21)O)O	null-null-null-null	Esculatin	public_spectra_2506:(CCMSLIB00004696274)	ILEDWLMCKZNDJK	134.987	46	0.761	857336422677629428	857336422673435123	147	
2	SPECTRUM	true	0		2	-1 eV	0.6077802	6	2	-1 eV (corrected -1 eV)	[M + H]+	132.102	Orbitrap (LCMS)	CCC(C)C(C(=O)O)N	splash10-000i-9000000000-9890f383cc8c0b622acb	Isoleucine	public_spectra_2506:(CCMSLIB00006113111)	AGPKZVBTJJNPAG	130.966	46	0.768	857336423361300996	857336423357106691	381	
1	SPECTRUM	true	9		2	-1 eV	0.56037474	6	2	-1 eV (corrected -1 eV)	[M + H]+	273.040	Orbitrap (LCMS)	C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3	splash10-0005-8900000000-4b16b00bb90a7ab2d835	Maybridge3_001395	public_spectra_2506:(BRUNGS_MCEBIO_00204)	KPFZCKDPBMGECB	158.003	46	0.772	857336423730399756	857336423722011147	208	
1	SPECTRUM	true	2		2	-1 eV	0.38716903	6	2	-1 eV (corrected -1 eV)	[M + H]+	171.029	Orbitrap (LCMS)	C1=C(C=C(C(=C1O)O)O)C(=O)O	splash10-0a59-9300000000-52c837653f48e1b095d2	gallate	public_spectra_2506:(CCMSLIB00011428735)	LNTHITQWFMADLM	130.008	46	0.773	857336423906560528	857336423902366223	205	
1	SPECTRUM	true	1		2	-1 eV	0.69835687	8	2	-1 eV (corrected -1 eV)	[M + H]+	188.034	Orbitrap (LCMS)	C1=CC2=C(C=C1O)OC(=O)C(=C2)C#N	splash10-000i-0900000000-bad8b625e4467d3fb262	Oprea1_274246	public_spectra_2506:(CCMSLIB00006700366)	IJQYTHQDUDCJEQ	222.961	48	0.799	857336424195967512	857336424191773207	232	
1	SPECTRUM	true	2		2	-1 eV	0.7131853	6	2	-1 eV (corrected -1 eV)	[M + Na]+	214.051	Orbitrap (LCMS)	CC(=O)NC(CCSC)C(=O)O	splash10-03di-1290000000-544ea971fd8c7ba58f77	Methionin	public_spectra_2506:(CCMSLIB00005464478)	XUYPXLNMDZIRQH	255.944	50	0.826	857336425139685936	857336425127103023	398	
1	SPECTRUM	true	-1		2		0.7117693	7	2	-1 eV (corrected -1 eV)	[M + H]+	167.034	Orbitrap (LCMS)	C1OC2=C(O1)C=C(C=C2)C(=O)O	splash10-001i-9400000000-5f627155218c5066b82e	Spectrum_001164	public_spectra_2506:(CCMSLIB00006708884)	VDVJGIYXDVPQLP	125.986	50	0.829	857336425517173304	857336425512978999	429	
